"Profession","Dept.group","Organisation","Dept.IfG","Whitehall","Managed","Year","value","Category","Note_profgroup"
"Communications and Marketing","Business, Innovation and Skills","Office of Fair Trading","BIS","Non-Whitehall","No",2010,30,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","Office of Gas and Electricity Market","DECC","Non-Whitehall","No",2010,10,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","Postal Services Commission","BIS","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","Skills Funding Agency","BIS","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","UK Intellectual Property Office","BIS","Non-Whitehall","No",2010,0,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","HM Land Registry","BIS","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","Met Office","BIS","Non-Whitehall","No",2010,120,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","Ordnance Survey","BIS","Non-Whitehall","No",2010,140,"Communications & marketing",""
"Communications and Marketing","Cabinet Office ","Buying Solutions","CO","Non-Whitehall","Yes",2010,NA,"Communications & marketing",""
"Communications and Marketing","Cabinet Office ","Cabinet Office excl agencies","CO","Whitehall","Yes",2010,120,"Communications & marketing",""
"Communications and Marketing","Cabinet Office ","Central Office of Information","CO","Non-Whitehall","Yes",2010,600,"Communications & marketing",""
"Communications and Marketing","Charity Commission","Charity Commission","CO","Non-Whitehall","No",2010,20,"Communications & marketing",""
"Communications and Marketing","Cabinet Office ","National School of Government","CO","Non-Whitehall","No",2010,10,"Communications & marketing",""
"Communications and Marketing","Cabinet Office ","Office of the Parliamentary Counsel","CO","Non-Whitehall","Yes",2010,0,"Communications & marketing",""
"Communications and Marketing","Cabinet Office ","Government Procurement Service","CO","Non-Whitehall","Yes",2010,NA,"Communications & marketing",""
"Communications and Marketing","Communities and Local Government","Department for Communities and Local Government","DCLG","Whitehall","Yes",2010,NA,"Communications & marketing",""
"Communications and Marketing","Communities and Local Government","Fire Service College","DCLG","Non-Whitehall","No",2010,20,"Communications & marketing",""
"Communications and Marketing","Communities and Local Government","Ordnance Survey [DCLG]","DCLG","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Communities and Local Government","Planning Inspectorate","DCLG","Non-Whitehall","Yes",2010,0,"Communications & marketing",""
"Communications and Marketing","Communities and Local Government","Queen Elizabeth II Conference Centre","DCLG","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Culture, Media and Sport","Department for Culture Media and Sport","DCMS","Whitehall","Yes",2010,40,"Communications & marketing",""
"Communications and Marketing","Culture, Media and Sport","Royal Parks","DCMS","Non-Whitehall","No",2010,10,"Communications & marketing",""
"Communications and Marketing","Department for Energy and Climate Change ","Department for Energy and Climate Change","DECC","Whitehall","Yes",2010,10,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Defra","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","Central Science Laboratory","Defra","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","Animal Health","Defra","Non-Whitehall","No",2010,10,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","Centre for Environment Fisheries and Aquaculture Science","Defra","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","Department for Environment Food and Rural Affairs","Defra","Whitehall","Yes",2010,70,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","Food & Environment Research Agency","Defra","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","Government Decontamination Services","Defra","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","Marine Fisheries Agency","Defra","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","OFWAT","Defra","Non-Whitehall","No",2010,10,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","Rural Payments Agency","Defra","Non-Whitehall","Yes",2010,10,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","Veterinary Laboratories Agency","Defra","Non-Whitehall","No",2010,20,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Defra","Non-Whitehall","No",2010,0,"Communications & marketing",""
"Communications and Marketing","Children, Schools and Families / Department for Education","Department for Education","DfE","Whitehall","Yes",2010,220,"Communications & marketing",""
"Communications and Marketing","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","DfE","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Ofsted","Ofsted","DfE","Non-Whitehall","No",2010,20,"Communications & marketing",""
"Communications and Marketing","Department for Education","Standards and Testing Agency","DfE","Non-Whitehall","Yes",2010,NA,"Communications & marketing",""
"Communications and Marketing","Department for Education","Education Funding Agency","DfE","Non-Whitehall","Yes",2010,NA,"Communications & marketing",""
"Communications and Marketing","Department for Education","National College","DfE","Non-Whitehall","Yes",2010,NA,"Communications & marketing",""
"Communications and Marketing","Department for Education","Teaching Agency","DfE","Non-Whitehall","Yes",2010,NA,"Communications & marketing",""
"Communications and Marketing","Department for Education","National College for Teaching and Leadership","DfE","Non-Whitehall","Yes",2010,NA,"Communications & marketing",""
"Communications and Marketing","International Development ","Department for International Development","DfID","Whitehall","Yes",2010,60,"Communications & marketing",""
"Communications and Marketing","Transport","Department for Transport","DfT","Whitehall","Yes",2010,0,"Communications & marketing",""
"Communications and Marketing","Transport","Driver and Vehicle Licensing Agency","DfT","Non-Whitehall","No",2010,0,"Communications & marketing",""
"Communications and Marketing","Transport","Driving Standards Agency","DfT","Non-Whitehall","No",2010,50,"Communications & marketing",""
"Communications and Marketing","Transport","Government Car and Despatch Agency","DfT","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Transport","Highways Agency","DfT","Non-Whitehall","No",2010,30,"Communications & marketing",""
"Communications and Marketing","Transport","Maritime and Coastguard Agency","DfT","Non-Whitehall","No",2010,10,"Communications & marketing",""
"Communications and Marketing","Transport","Office of Rail Regulation","DfT","Non-Whitehall","No",2010,20,"Communications & marketing",""
"Communications and Marketing","Transport","Vehicle and Operator Services Agency","DfT","Non-Whitehall","No",2010,10,"Communications & marketing",""
"Communications and Marketing","Transport","Vehicle Certification Agency","DfT","Non-Whitehall","No",2010,10,"Communications & marketing",""
"Communications and Marketing","Health","Department of Health (excl agencies)","DH","Whitehall","Yes",2010,140,"Communications & marketing",""
"Communications and Marketing","Health","Food Standards Agency","DH","Non-Whitehall","No",2010,40,"Communications & marketing",""
"Communications and Marketing","Health","Meat Hygiene Service","DH","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Health","Medicines and Healthcare Products Regulatory Agency","DH","Non-Whitehall","No",2010,30,"Communications & marketing",""
"Communications and Marketing","Health","National Healthcare Purchasing and Supplies","DH","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Health","NHS Business Services Authority","DH","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Health","Public Health England","DH","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Work and Pensions","Department for Work and Pensions","DWP","Non-Whitehall","Yes",2010,NA,"Communications & marketing",""
"Communications and Marketing","Work and Pensions","Child Maintenance Enforcement Commission","DWP","Non-Whitehall","Yes",2010,10,"Communications & marketing",""
"Communications and Marketing","Work and Pensions","DWP Corporate and Shared Services  ","DWP","Non-Whitehall","Yes",2010,360,"Communications & marketing",""
"Communications and Marketing","Work and Pensions","Jobcentre Plus","DWP","Non-Whitehall","Yes",2010,250,"Communications & marketing",""
"Communications and Marketing","Work and Pensions","Pensions & Disability Carers Service ","DWP","Non-Whitehall","Yes",2010,NA,"Communications & marketing",""
"Communications and Marketing","Work and Pensions","The Health and Safety Executive","DWP","Non-Whitehall","No",2010,50,"Communications & marketing",""
"Communications and Marketing","Work and Pensions","The Rent Service","DWP","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Foreign and Commonwealth Office","Foreign and Commonwealth Office (excl agencies)","FCO","Whitehall","Yes",2010,0,"Communications & marketing",""
"Communications and Marketing","Security and Intelligence Services","Security and Intelligence Services","FCO","Non-Whitehall","No",2010,0,"Communications & marketing",""
"Communications and Marketing","Foreign and Commonwealth Office","Wilton Park Executive Agency","FCO","Non-Whitehall","No",2010,0,"Communications & marketing",""
"Communications and Marketing","Foreign and Commonwealth Office","Foreign and Commonwealth Office Services","FCO","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Government Equalities Office","Government Equalities Office","GEO","Whitehall","Yes",2010,0,"Communications & marketing",""
"Communications and Marketing","UK Statistics Authority","Census Field","CO","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Chancellor's other departments","Debt Management Office","HMT","Non-Whitehall","Yes",2010,0,"Communications & marketing",""
"Communications and Marketing","Chancellor's other departments","Government Actuary's Department","HMT","Non-Whitehall","Yes",2010,0,"Communications & marketing",""
"Communications and Marketing","HM Revenue and Customs","HM Revenue and Customs","HMRC","Non-Whitehall","Yes",2010,150,"Communications & marketing",""
"Communications and Marketing","HM Treasury","HM Treasury","HMT","Whitehall","Yes",2010,30,"Communications & marketing",""
"Communications and Marketing","HM Treasury","Office for Budget Responsibility","HMT","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","HM Treasury","Asset Protection Agency","HMT","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Chancellor's other departments","National Savings and Investments","HMT","Non-Whitehall","No",2010,20,"Communications & marketing",""
"Communications and Marketing","Chancellor's other departments","Office of Government Commerce","HMT","Non-Whitehall","No",2010,10,"Communications & marketing",""
"Communications and Marketing","Chancellor's other departments","OGC Buying Solutions","HMT","Non-Whitehall","No",2010,40,"Communications & marketing",""
"Communications and Marketing","Chancellor's other departments","Royal Mint","HMT","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","UK Statistics Authority","UK Statistics Authority","CO","Non-Whitehall","No",2010,40,"Communications & marketing",""
"Communications and Marketing","HM Revenue and Customs","Valuation Office","HMRC","Non-Whitehall","Yes",2010,20,"Communications & marketing",""
"Communications and Marketing","Home Office","Criminal Records Bureau","HO","Non-Whitehall","No",2010,0,"Communications & marketing",""
"Communications and Marketing","Home Office","Home Office (excl agencies)","HO","Non-Whitehall","Yes",2010,110,"Communications & marketing",""
"Communications and Marketing","Home Office","Identity and Passport Service","HO","Non-Whitehall","No",2010,0,"Communications & marketing",""
"Communications and Marketing","Home Office","UK Border Agency","HO","Non-Whitehall","Yes",2010,220,"Communications & marketing",""
"Communications and Marketing","Home Office","National Fraud Authority","HO","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Defence","Defence Science and Technology Laboratory","MoD","Non-Whitehall","Yes",2010,10,"Communications & marketing",""
"Communications and Marketing","Defence","Defence Support Group","MoD","Non-Whitehall","Yes",2010,NA,"Communications & marketing",""
"Communications and Marketing","Defence","Meteorological Office","MoD","Non-Whitehall","Yes",2010,NA,"Communications & marketing",""
"Communications and Marketing","Defence","Royal Fleet Auxiliary","MoD","Non-Whitehall","Yes",2010,0,"Communications & marketing",""
"Communications and Marketing","Defence","Ministry of Defence","MoD","Non-Whitehall","Yes",2010,0,"Communications & marketing",""
"Communications and Marketing","Defence","UK Hydrographic Office","MoD","Non-Whitehall","Yes",2010,70,"Communications & marketing",""
"Communications and Marketing","Justice","Her Majesty's Courts and Tribunals Service","MoJ","Non-Whitehall","Yes",2010,NA,"Communications & marketing",""
"Communications and Marketing","Justice","HM Courts Service","MoJ","Non-Whitehall","Yes",2010,0,"Communications & marketing",""
"Communications and Marketing","Justice","Land Registry","MoJ","Non-Whitehall","No",2010,10,"Communications & marketing",""
"Communications and Marketing","Justice","Ministry of Justice (excl agencies)","MoJ","Whitehall","Yes",2010,90,"Communications & marketing",""
"Communications and Marketing","Justice","National Archives","MoJ","Non-Whitehall","No",2010,10,"Communications & marketing",""
"Communications and Marketing","Justice","National Offender Management Service","MoJ","Non-Whitehall","Yes",2010,0,"Communications & marketing",""
"Communications and Marketing","Justice","Scotland Office (incl. Office of the Advocate General for Scotland)","MoJ","Non-Whitehall","No",2010,0,"Communications & marketing",""
"Communications and Marketing","Justice","The Office of the Public Guardian","MoJ","Non-Whitehall","Yes",2010,0,"Communications & marketing",""
"Communications and Marketing","Justice","Tribunals Service","MoJ","Non-Whitehall","Yes",2010,NA,"Communications & marketing",""
"Communications and Marketing","Justice","UK Supreme Court","MoJ","Non-Whitehall","No",2010,0,"Communications & marketing",""
"Communications and Marketing","Justice","Wales Office","MoJ","Non-Whitehall","No",2010,0,"Communications & marketing",""
"Communications and Marketing","Justice","Legal Aid Agency","MoJ","Non-Whitehall","Yes",2010,NA,"Communications & marketing",""
"Communications and Marketing","Northern Ireland Office","Northern Ireland Office","NIO","Whitehall","Yes",2010,NA,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Crown Office and Procurator Fiscal","Scot Gov","Non-Whitehall","No",2010,0,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Disclosure Scotland","Scot Gov","Non-Whitehall","No",2010,0,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Fisheries Research Services","Scot Gov","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Scottish Government","General Register Scotland","Scot Gov","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Scottish Government","GROS Census Field","Scot Gov","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Historic Scotland","Scot Gov","Non-Whitehall","No",2010,30,"Communications & marketing",""
"Communications and Marketing","Scottish Government","HM Inspectorate of Education","Scot Gov","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Mental Health Tribunal Scotland","Scot Gov","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Scottish Government","National Records of Scotland","Scot Gov","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Scottish Government","National Archive for Scotland","Scot Gov","Non-Whitehall","No",2010,0,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Office for the Scottish Charity Regulator","Scot Gov","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Accountant in Bankruptcy","Scot Gov","Non-Whitehall","No",2010,0,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Registers of Scotland","Scot Gov","Non-Whitehall","No",2010,20,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Scottish Court Service","Scot Gov","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Scottish Fisheries Protection Agency","Scot Gov","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Scottish Government (excl agencies)","Scot Gov","Non-Whitehall","No",2010,90,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Scottish Housing Regulator","Scot Gov","Non-Whitehall","No",2010,0,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Scottish Law Commission","Scot Gov","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Scottish Prison Service Headquarters","Scot Gov","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Scottish Public Pensions Agency","Scot Gov","Non-Whitehall","No",2010,0,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Social Work Inspection Agency","Scot Gov","Non-Whitehall","No",2010,0,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Student Awards Agency","Scot Gov","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Transport Scotland","Scot Gov","Non-Whitehall","No",2010,10,"Communications & marketing",""
"Communications and Marketing","Scottish Government","Education Scotland","Scot Gov","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Welsh Assembly","ESTYN","Welsh Gov","Non-Whitehall","No",2010,NA,"Communications & marketing",""
"Communications and Marketing","Welsh Assembly","Welsh Government","Welsh Gov","Non-Whitehall","No",2010,230,"Communications & marketing",""
"Communications and Marketing","ONS total","All employees","Total employment","Total Employment ONS total","Total Employment ONS total",2010,3870,"Communications & marketing",""
"Communications and Marketing","Attorney General's departments","Attorney General's Office","AGO","Whitehall","Yes",2013,0,"Communications & marketing",""
"Communications and Marketing","Attorney General's departments","Crown Prosecution Service","AGO","Non-Whitehall","No",2013,50,"Communications & marketing",""
"Communications and Marketing","Attorney General's departments","Crown Prosecution Service Inspectorate","AGO","Non-Whitehall","No",2013,0,"Communications & marketing",""
"Communications and Marketing","Attorney General's departments","National Fraud Authority [AGO]","AGO","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Attorney General's departments","Revenue and Customs Prosecution Office","AGO","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Attorney General's departments","Serious Fraud Office","AGO","Non-Whitehall","No",2013,10,"Communications & marketing",""
"Communications and Marketing","Attorney General's departments","Treasury Solicitor","AGO","Non-Whitehall","No",2013,0,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","Advisory Conciliation and Arbitration Service","BIS","Non-Whitehall","No",2013,10,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","Business, Enterprise and Regulatory Reform","BIS","Whitehall","Yes",2013,NA,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","Business, Innovation and Skills","BIS","Whitehall","Yes",2013,90,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","Companies House","BIS","Non-Whitehall","No",2013,30,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","UK Space Agency","BIS","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Innovation, Universities and Skills","Department for Innovation, Universities and Skills","BIS","Whitehall","Yes",2013,NA,"Communications & marketing",""
"Communications and Marketing","Export Credits Guarantee Department","Export Credit Guarantee Department","BIS","Non-Whitehall","No",2013,0,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","Insolvency Service","BIS","Non-Whitehall","No",2013,10,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","National Measurement Office","BIS","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","National Weights and Measures Laboratory","BIS","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","Office of Fair Trading","BIS","Non-Whitehall","No",2013,20,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","Office of Gas and Electricity Market","DECC","Non-Whitehall","No",2013,20,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","Postal Services Commission","BIS","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","Skills Funding Agency","BIS","Non-Whitehall","No",2013,30,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","UK Intellectual Property Office","BIS","Non-Whitehall","No",2013,50,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","HM Land Registry","BIS","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","Met Office","BIS","Non-Whitehall","No",2013,0,"Communications & marketing",""
"Communications and Marketing","Business, Innovation and Skills","Ordnance Survey","BIS","Non-Whitehall","No",2013,130,"Communications & marketing",""
"Communications and Marketing","Cabinet Office ","Buying Solutions","CO","Non-Whitehall","Yes",2013,NA,"Communications & marketing",""
"Communications and Marketing","Cabinet Office ","Cabinet Office excl agencies","CO","Whitehall","Yes",2013,190,"Communications & marketing",""
"Communications and Marketing","Cabinet Office ","Central Office of Information","CO","Non-Whitehall","Yes",2013,NA,"Communications & marketing",""
"Communications and Marketing","Charity Commission","Charity Commission","CO","Non-Whitehall","No",2013,10,"Communications & marketing",""
"Communications and Marketing","Cabinet Office ","National School of Government","CO","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Cabinet Office ","Office of the Parliamentary Counsel","CO","Non-Whitehall","Yes",2013,0,"Communications & marketing",""
"Communications and Marketing","Cabinet Office ","Government Procurement Service","CO","Non-Whitehall","Yes",2013,20,"Communications & marketing",""
"Communications and Marketing","Communities and Local Government","Department for Communities and Local Government","DCLG","Whitehall","Yes",2013,50,"Communications & marketing",""
"Communications and Marketing","Communities and Local Government","Fire Service College","DCLG","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Communities and Local Government","Ordnance Survey [DCLG]","DCLG","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Communities and Local Government","Planning Inspectorate","DCLG","Non-Whitehall","Yes",2013,NA,"Communications & marketing",""
"Communications and Marketing","Communities and Local Government","Queen Elizabeth II Conference Centre","DCLG","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Culture, Media and Sport","Department for Culture Media and Sport","DCMS","Whitehall","Yes",2013,NA,"Communications & marketing",""
"Communications and Marketing","Culture, Media and Sport","Royal Parks","DCMS","Non-Whitehall","No",2013,10,"Communications & marketing",""
"Communications and Marketing","Department for Energy and Climate Change ","Department for Energy and Climate Change","DECC","Whitehall","Yes",2013,60,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Defra","Non-Whitehall","No",2013,30,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","Central Science Laboratory","Defra","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","Animal Health","Defra","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","Centre for Environment Fisheries and Aquaculture Science","Defra","Non-Whitehall","No",2013,10,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","Department for Environment Food and Rural Affairs","Defra","Whitehall","Yes",2013,80,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","Food & Environment Research Agency","Defra","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","Government Decontamination Services","Defra","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","Marine Fisheries Agency","Defra","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","OFWAT","Defra","Non-Whitehall","No",2013,10,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","Rural Payments Agency","Defra","Non-Whitehall","Yes",2013,80,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","Veterinary Laboratories Agency","Defra","Non-Whitehall","No",2013,NA,"Communications & marketing",""
"Communications and Marketing","Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Defra","Non-Whitehall","No",2013,0,"Communications & marketing",""
"Communications and Marketing","Children, Schools and Families / Department for Education","Department for Education","DfE","Whitehall","Yes",2013,150,"Communications & marketing",""
"Communications and Marketing","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","DfE","Non-Whitehall","No",2013,10,"Communications & marketing",""
"Communications and Marketing","Ofsted","Ofsted","DfE","Non-Whitehall","No",2013,20,"Communications & marketing",""
"Communications and Marketing","Department for Education","Standards and Testing Agency","DfE","Non-Whitehall","Yes",2013,0,"Communications & marketing",""
"Communications and Marketing","Department for Education","Education Funding Agency","DfE","Non-Whitehall","Yes",2013,0,"Communications & marketing",""
"Communications and Marketing","Department for Education","National College","DfE","Non-Whitehall","Yes",2013,0,"Communications & marketing",""
"Communications and Marketing","Department for Education","Teaching Agency","DfE","Non-Whitehall","Yes",2013,0,"Communications & marketing",""
"Communications and Marketing","Department for Education","National College for Teaching and Leadership","DfE","Non-Whitehall","Yes",2013,NA,"Communications & marketing",""
"Communications and Marketing","International Development ","Department for International Development","DfID","Whitehall","Yes",2013,50,"Communications & marketing",""
"Communications and Marketing","Transport","Department for Transport","DfT","Whitehall","Yes",2013,0,"Communications & marketing",""
"Communications and Marketing","Transport","Driver and Vehicle Licensing Agency","DfT","Non-Whitehall","No",2013,0,"Communications & marketing",""
"Communications and Marketing","Transport","Driving Standards Agency","DfT","Non-Whitehall","No",2013,10,"Communications & marketing",""
"Communications and Marketing","Transport","Government Car and Despatch Agency","DfT","Non-Whitehall","No",2013,0,"Communications & marketing",""
"Communications and Marketing","Transport","Highways Agency","DfT","Non-Whitehall","No",2013,20,"Communications & marketing",""
"Communications and Marketing","Transport","Maritime and Coastguard Agency","DfT","Non-Whitehall","No",2013,10,"Communications & marketing",""
"Communications and Marketing","Transport","Office of Rail Regulation","DfT","Non-Whitehall","No",2013,20,"Communications & marketing",""
"Communications and Marketing","Transport","Vehicle and Operator Services Agency","DfT","Non-Whitehall","No",2013,10,"Communications & marketing",""
"Communications and Marketing","Transport","Vehicle Certification Agency","DfT","Non-Whitehall","No",2013,10,"Communications & marketing",""
"Communications and Marketing","Health","Department of Health (excl agencies)","DH","Whitehall","Yes",2013,160,"Communications & marketing",""
