"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87"
": Overseas (n=12,861)","67%","78%","83%","68%","79%","53%","77%","76%","32%","49%","93%","82%","81%","62%","71%","84%","81%","85%","71%","71%","78%","64%","70%","79%","66%","68%","64%","51%","81%","80%","75%","58%","59%","42%","55%","77%","84%","71%","75%","86%","74%","82%","90%","69%","63%","68%","33%","35%","28%","56%","59%","56%","52%","50%","41%","34%","60%","41%","44%","75%","60%","59%","57%","54%","54%","59%","45%","89%","67%","69%","67%","80%","6%","10%","26%","58%","65%","50%","58%","67%","73%","65%","47%","14%","13%",""
"Region of England usually work in [H1A]: East Midlands (n=12,102)","51%","68%","77%","63%","77%","43%","70%","70%","29%","32%","86%","77%","71%","47%","61%","79%","75%","78%","62%","73%","73%","61%","64%","73%","63%","58%","59%","39%","82%","78%","71%","58%","46%","33%","34%","73%","82%","56%","68%","83%","63%","74%","84%","63%","57%","65%","28%","33%","27%","32%","36%","35%","35%","28%","25%","21%","49%","28%","34%","44%","34%","42%","36%","33%","33%","46%","32%","86%","62%","57%","56%","79%","10%","10%","21%","59%","87%","65%","60%","59%","67%","57%","50%","14%","13%",""
": East of England (n=11,063)","51%","69%","76%","63%","76%","42%","70%","69%","29%","31%","87%","77%","72%","47%","62%","78%","73%","76%","62%","74%","75%","60%","66%","74%","63%","57%","60%","39%","81%","77%","69%","56%","45%","33%","35%","74%","82%","57%","67%","82%","62%","73%","83%","60%","58%","65%","29%","32%","26%","31%","35%","34%","34%","26%","22%","19%","48%","27%","33%","44%","32%","43%","35%","32%","31%","45%","31%","86%","62%","57%","54%","78%","10%","10%","21%","60%","86%","64%","60%","60%","68%","58%","51%","13%","12%",""
": London (n=51,504)","56%","74%","81%","66%","78%","49%","74%","71%","28%","39%","89%","78%","75%","57%","71%","83%","79%","81%","67%","78%","79%","61%","71%","77%","63%","60%","61%","41%","82%","79%","73%","60%","49%","43%","43%","77%","84%","64%","71%","82%","68%","74%","86%","66%","57%","63%","29%","30%","24%","41%","50%","43%","38%","38%","29%","24%","56%","34%","38%","54%","42%","45%","41%","38%","42%","54%","36%","87%","66%","65%","67%","75%","9%","15%","31%","45%","89%","62%","65%","61%","68%","58%","48%","11%","11%",""
": North East England (n=18,532)","49%","66%","80%","67%","81%","44%","71%","72%","30%","35%","84%","76%","69%","47%","56%","81%","79%","81%","66%","74%","76%","66%","68%","77%","71%","63%","61%","44%","85%","82%","75%","61%","45%","36%","34%","75%","84%","56%","70%","85%","64%","77%","84%","65%","62%","68%","29%","34%","28%","34%","41%","38%","36%","31%","28%","24%","50%","31%","37%","38%","33%","37%","35%","34%","35%","47%","34%","85%","63%","57%","53%","82%","11%","9%","17%","63%","91%","70%","65%","61%","68%","57%","51%","12%","11%",""
": North West England (n=28,406)","53%","69%","81%","68%","80%","46%","73%","73%","30%","36%","86%","77%","72%","50%","60%","82%","79%","81%","68%","76%","77%","67%","70%","77%","71%","64%","62%","44%","85%","82%","75%","62%","49%","37%","37%","77%","85%","60%","72%","85%","67%","77%","85%","64%","61%","69%","29%","34%","28%","35%","42%","38%","37%","31%","29%","24%","53%","31%","37%","44%","37%","41%","38%","36%","38%","53%","39%","86%","65%","59%","58%","81%","9%","10%","19%","62%","88%","68%","65%","62%","70%","59%","51%","12%","11%",""
": South East England (n=25,591)","51%","69%","77%","61%","75%","43%","70%","69%","27%","31%","87%","77%","71%","48%","63%","79%","74%","77%","61%","75%","74%","57%","65%","73%","60%","55%","58%","37%","80%","76%","68%","57%","45%","35%","36%","73%","82%","56%","67%","82%","62%","72%","83%","61%","57%","64%","27%","31%","24%","30%","36%","33%","33%","27%","22%","19%","48%","27%","34%","45%","33%","42%","34%","31%","32%","44%","28%","85%","62%","57%","55%","77%","9%","11%","23%","57%","86%","63%","59%","58%","66%","56%","50%","13%","12%",""
": South West England (n=27,808)","54%","72%","79%","64%","77%","48%","73%","69%","29%","32%","88%","79%","73%","52%","69%","82%","76%","79%","64%","79%","78%","60%","70%","75%","62%","57%","61%","38%","82%","78%","71%","61%","48%","41%","43%","79%","84%","59%","70%","82%","62%","71%","84%","60%","56%","65%","29%","33%","25%","32%","38%","36%","35%","29%","21%","19%","50%","29%","38%","50%","36%","47%","37%","33%","33%","47%","30%","87%","67%","62%","59%","77%","8%","10%","24%","58%","87%","62%","62%","59%","67%","56%","51%","11%","10%",""
": West Midlands (n=15,854)","51%","67%","77%","62%","77%","43%","70%","69%","29%","32%","85%","75%","70%","47%","60%","78%","74%","78%","62%","73%","73%","60%","64%","73%","63%","57%","58%","40%","81%","78%","70%","57%","45%","34%","35%","73%","82%","56%","68%","82%","63%","73%","84%","62%","57%","64%","28%","32%","26%","33%","38%","35%","35%","28%","25%","21%","48%","28%","33%","45%","34%","40%","36%","33%","33%","46%","33%","85%","61%","58%","56%","79%","10%","11%","21%","58%","85%","65%","60%","59%","67%","56%","49%","13%","12%",""
": Yorkshire and the Humber (n=17,330)","51%","68%","77%","64%","78%","43%","71%","70%","30%","32%","85%","76%","70%","48%","62%","78%","74%","78%","63%","76%","75%","61%","67%","74%","64%","58%","58%","38%","83%","79%","72%","58%","45%","35%","35%","74%","83%","58%","70%","82%","63%","73%","83%","62%","58%","67%","30%","33%","28%","32%","38%","35%","34%","28%","23%","20%","47%","29%","35%","42%","34%","40%","35%","33%","33%","48%","32%","85%","63%","58%","57%","79%","10%","10%","21%","59%","86%","64%","62%","60%","67%","56%","50%","13%","11%",""
"Time in current job [H02]: Less than 1 year (n=58,890)","59%","75%","84%","70%","82%","56%","80%","72%","36%","43%","90%","80%","76%","59%","71%","86%","81%","84%","72%","81%","82%","67%","77%","80%","67%","66%","65%","43%","86%","83%","78%","65%","56%","52%","51%","84%","88%","69%","77%","82%","68%","74%","82%","67%","64%","70%","37%","39%","33%","44%","52%","47%","42%","41%","31%","28%","59%","37%","44%","58%","49%","47%","47%","44%","44%","58%","33%","89%","71%","65%","67%","77%","6%","10%","28%","56%","85%","60%","68%","65%","72%","61%","52%","10%","10%",""
": 1 year but less than 3 years (n=61,428)","56%","74%","83%","68%","80%","51%","75%","72%","31%","39%","89%","79%","74%","56%","70%","85%","81%","83%","68%","79%","80%","64%","72%","78%","67%","63%","64%","44%","84%","81%","76%","62%","53%","43%","45%","79%","85%","63%","74%","84%","68%","76%","86%","66%","59%","66%","31%","35%","28%","40%","47%","42%","40%","36%","28%","25%","56%","34%","41%","52%","42%","46%","41%","38%","41%","54%","38%","88%","69%","66%","65%","78%","8%","12%","25%","54%","88%","65%","66%","62%","69%","59%","51%","11%","10%",""
": 3 years but less than 5 years (n=38,332)","53%","71%","81%","65%","78%","45%","72%","72%","28%","36%","87%","77%","73%","51%","65%","83%","78%","81%","65%","77%","77%","62%","68%","76%","66%","60%","61%","42%","82%","79%","72%","59%","47%","36%","38%","76%","83%","59%","71%","84%","66%","76%","87%","64%","58%","66%","27%","32%","25%","36%","41%","38%","37%","32%","27%","23%","52%","31%","37%","48%","38%","43%","38%","35%","38%","50%","37%","87%","65%","61%","60%","79%","9%","12%","23%","56%","87%","66%","63%","60%","68%","57%","50%","12%","11%",""
": 5 years but less than 10 years  (n=53,962)","51%","67%","77%","63%","76%","41%","69%","71%","26%","32%","86%","75%","70%","45%","59%","79%","75%","78%","62%","74%","74%","60%","64%","74%","64%","57%","58%","40%","81%","77%","69%","56%","42%","31%","33%","72%","81%","54%","67%","84%","64%","75%","87%","63%","58%","66%","25%","29%","24%","32%","38%","34%","34%","28%","25%","20%","47%","28%","33%","44%","34%","41%","34%","32%","33%","45%","32%","85%","60%","57%","54%","80%","10%","11%","21%","58%","86%","65%","60%","59%","67%","57%","50%","13%","12%",""
": 10 years or more (n=53,584)","50%","67%","74%","60%","74%","39%","67%","70%","25%","29%","85%","77%","70%","44%","56%","76%","72%","76%","59%","70%","70%","58%","61%","71%","62%","54%","56%","39%","80%","76%","67%","56%","41%","30%","30%","70%","80%","53%","63%","83%","63%","74%","85%","63%","57%","64%","24%","27%","23%","30%","34%","32%","32%","25%","24%","18%","44%","26%","30%","41%","30%","41%","33%","30%","30%","41%","30%","84%","57%","54%","50%","80%","11%","9%","17%","63%","85%","66%","58%","59%","67%","57%","48%","13%","12%",""
"Time in organisation (or predecessor) [H03]: Less than 1 year (n=16,436)","65%","74%","82%","71%","82%","56%","83%","77%","42%","50%","91%","76%","77%","57%","69%","85%","79%","83%","75%","82%","82%","68%","80%","81%","67%","68%","67%","42%","87%","82%","75%","65%","55%","53%","49%","88%","90%","73%","82%","83%","71%","76%","87%","72%","72%","77%","44%","44%","39%","55%","60%","56%","47%","53%","39%","36%","65%","42%","48%","71%","66%","43%","57%","55%","50%","59%","26%","91%","71%","64%","69%","71%","5%","12%","36%","48%","74%","48%","70%","69%","74%","65%","53%","6%","6%",""
": 1 year but less than 3 years (n=17,550)","60%","72%","82%","68%","79%","53%","77%","74%","34%","44%","89%","75%","74%","53%","67%","85%","79%","82%","70%","79%","80%","64%","74%","79%","66%","66%","66%","41%","84%","80%","73%","62%","57%","47%","48%","81%","85%","65%","76%","85%","69%","76%","88%","70%","63%","69%","34%","37%","31%","47%","54%","49%","42%","44%","34%","31%","59%","37%","43%","63%","55%","41%","48%","46%","44%","53%","35%","89%","68%","64%","66%","77%","8%","16%","33%","43%","81%","54%","66%","64%","70%","61%","51%","10%","10%",""
": 3 years but less than 5 years (n=20,460)","55%","69%","80%","66%","77%","49%","73%","71%","29%","38%","87%","74%","71%","50%","65%","83%","78%","80%","66%","78%","78%","62%","70%","76%","65%","62%","62%","39%","82%","78%","71%","58%","52%","41%","43%","77%","83%","60%","72%","83%","66%","75%","87%","64%","59%","66%","28%","33%","26%","40%","46%","42%","39%","36%","28%","26%","54%","32%","39%","55%","45%","40%","41%","39%","39%","50%","35%","87%","66%","61%","62%","78%","9%","15%","30%","46%","84%","60%","64%","61%","68%","58%","51%","12%","12%",""
": 5 years but less than 10 years  (n=48,419)","53%","67%","78%","64%","76%","45%","70%","70%","28%","35%","86%","73%","69%","47%","61%","80%","76%","78%","64%","77%","76%","61%","67%","75%","64%","60%","60%","39%","81%","78%","70%","57%","47%","37%","39%","74%","82%","56%","69%","83%","64%","74%","86%","63%","58%","66%","27%","32%","26%","36%","43%","38%","36%","32%","26%","23%","49%","29%","36%","50%","39%","40%","37%","35%","36%","47%","33%","86%","62%","58%","58%","79%","9%","12%","26%","52%","86%","63%","61%","60%","67%","57%","50%","13%","12%",""
": 10 years or more (n=147,675)","52%","72%","80%","65%","79%","46%","72%","71%","28%","33%","88%","80%","74%","53%","66%","82%","78%","81%","64%","76%","77%","62%","68%","76%","66%","59%","61%","43%","83%","80%","73%","61%","47%","37%","38%","76%","84%","60%","69%","83%","66%","75%","85%","64%","58%","65%","28%","31%","25%","33%","39%","36%","36%","29%","25%","20%","51%","30%","36%","43%","33%","46%","36%","33%","36%","50%","35%","86%","65%","61%","58%","80%","9%","9%","19%","63%","90%","69%","63%","60%","68%","58%","50%","12%","11%",""
"Time in Civil Service [H04]: Less than 1 year (n=14,876)","64%","74%","81%","70%","81%","54%","82%","77%","43%","48%","91%","75%","77%","57%","69%","84%","77%","81%","73%","81%","81%","66%","79%","80%","66%","67%","69%","43%","86%","82%","74%","64%","53%","50%","48%","86%","89%","72%","81%","84%","70%","77%","89%","72%","71%","76%","45%","44%","41%","53%","57%","53%","47%","51%","37%","34%","62%","40%","46%","69%","63%","44%","55%","53%","47%","56%","27%","91%","71%","65%","67%","75%","5%","12%","33%","51%","68%","40%","65%","68%","73%","64%","54%","6%","6%",""
": 1 year but less than 3 years (n=12,249)","61%","71%","82%","69%","79%","55%","78%","75%","35%","44%","89%","74%","74%","52%","65%","85%","80%","82%","71%","79%","80%","65%","75%","79%","67%","67%","66%","41%","84%","80%","73%","63%","58%","48%","50%","81%","86%","66%","78%","86%","70%","77%","89%","70%","65%","71%","34%","38%","33%","47%","53%","50%","43%","44%","34%","31%","58%","36%","43%","66%","57%","43%","50%","48%","43%","52%","32%","90%","68%","63%","66%","78%","7%","14%","32%","46%","78%","50%","65%","65%","70%","61%","52%","9%","10%",""
": 3 years but less than 5 years (n=17,299)","56%","69%","81%","67%","77%","50%","74%","72%","29%","39%","87%","74%","72%","49%","65%","84%","78%","80%","67%","79%","79%","63%","71%","77%","66%","63%","63%","39%","82%","78%","72%","59%","53%","43%","44%","79%","84%","61%","74%","84%","66%","75%","87%","64%","61%","68%","28%","33%","26%","41%","46%","43%","39%","37%","29%","27%","55%","32%","41%","57%","48%","41%","43%","40%","40%","51%","34%","88%","67%","61%","63%","78%","8%","15%","31%","46%","84%","59%","65%","62%","68%","58%","51%","11%","11%",""
": 5 years but less than 10 years  (n=44,849)","53%","67%","79%","65%","77%","46%","71%","71%","29%","36%","86%","73%","69%","47%","61%","81%","76%","79%","65%","77%","76%","61%","68%","75%","64%","60%","60%","39%","82%","78%","70%","58%","48%","38%","40%","75%","83%","57%","70%","83%","64%","74%","86%","64%","58%","66%","27%","33%","26%","37%","44%","40%","36%","33%","26%","24%","50%","30%","37%","51%","40%","41%","38%","36%","36%","48%","33%","86%","63%","58%","58%","79%","9%","12%","27%","51%","86%","63%","63%","61%","67%","57%","50%","13%","12%",""
": 10 years or more (n=154,217)","52%","72%","80%","65%","79%","45%","72%","71%","27%","34%","87%","80%","73%","52%","66%","82%","78%","81%","64%","76%","76%","63%","68%","76%","66%","59%","60%","42%","83%","80%","73%","61%","46%","37%","37%","76%","83%","59%","69%","83%","65%","75%","84%","63%","57%","65%","27%","31%","24%","34%","40%","36%","36%","29%","25%","21%","51%","31%","36%","43%","33%","44%","36%","33%","36%","50%","36%","86%","64%","61%","59%","79%","9%","9%","19%","62%","91%","69%","63%","60%","68%","58%","49%","12%","12%",""
"Manager status [H05]: Non-manager (n=185,009)","52%","66%","77%","63%","75%","43%","70%","71%","28%","33%","85%","73%","69%","44%","58%","79%","75%","78%","63%","75%","74%","60%","66%","75%","65%","59%","59%","36%","81%","77%","68%","58%","46%","35%","35%","74%","82%","56%","68%","83%","64%","74%","84%","63%","62%","69%","27%","31%","26%","34%","39%","35%","34%","29%","26%","21%","48%","27%","33%","45%","36%","39%","36%","33%","33%","45%","29%","85%","60%","56%","54%","79%","10%","11%","22%","58%","84%","60%","59%","60%","67%","57%","50%","13%","11%",""
": Manager (n=81,009)","59%","82%","86%","70%","85%","54%","78%","72%","33%","43%","93%","87%","81%","68%","79%","88%","84%","86%","70%","80%","84%","67%","75%","79%","66%","63%","66%","53%","87%","85%","83%","65%","54%","47%","50%","82%","87%","68%","77%","85%","70%","78%","89%","67%","53%","60%","33%","37%","28%","43%","51%","47%","44%","41%","30%","28%","60%","40%","47%","57%","45%","54%","45%","43%","47%","61%","45%","89%","75%","72%","72%","79%","7%","11%","25%","57%","93%","74%","72%","65%","73%","61%","50%","10%","11%",""
"Working pattern [H06]: Full-time (n=216,469)","54%","71%","80%","65%","78%","47%","72%","71%","28%","36%","88%","78%","73%","53%","66%","82%","77%","80%","65%","76%","77%","61%","69%","76%","64%","60%","61%","41%","82%","79%","72%","60%","49%","40%","41%","76%","83%","60%","70%","83%","66%","74%","86%","64%","58%","64%","28%","31%","25%","37%","43%","39%","38%","33%","27%","23%","52%","32%","37%","50%","40%","44%","39%","36%","37%","49%","34%","86%","65%","61%","61%","78%","9%","11%","23%","57%","87%","65%","63%","60%","67%","57%","50%","12%","12%",""
": Part-time (n=50,954)","52%","68%","81%","68%","81%","44%","74%","75%","34%","35%","86%","76%","71%","47%","59%","82%","79%","81%","67%","79%","77%","66%","69%","78%","70%","63%","63%","43%","86%","82%","74%","62%","46%","35%","33%","78%","86%","61%","72%","86%","67%","78%","84%","66%","64%","76%","33%","37%","32%","36%","39%","37%","36%","30%","29%","22%","52%","30%","36%","43%","37%","40%","38%","35%","37%","51%","37%","87%","63%","59%","55%","83%","8%","10%","22%","60%","86%","63%","64%","67%","75%","64%","52%","11%","9%",""
": Job-share (n=821)","58%","72%","78%","64%","79%","48%","74%","73%","36%","41%","88%","79%","73%","54%","68%","79%","76%","79%","64%","75%","76%","64%","70%","73%","60%","59%","58%","46%","83%","81%","74%","60%","46%","42%","45%","79%","84%","63%","72%","83%","68%","76%","86%","70%","58%","73%","36%","38%","34%","44%","48%","43%","42%","40%","34%","27%","59%","36%","41%","59%","47%","49%","47%","43%","45%","54%","39%","87%","66%","66%","61%","80%","7%","10%","27%","55%","80%","60%","65%","70%","76%","68%","52%","13%","11%",""
"Employment status [H07]: Permanent contract (n=251,751)","53%","71%","80%","65%","78%","47%","72%","71%","29%","35%","87%","78%","73%","51%","64%","82%","78%","80%","65%","76%","76%","62%","68%","76%","65%","60%","61%","41%","83%","79%","72%","60%","48%","39%","39%","76%","83%","59%","70%","83%","65%","75%","85%","64%","58%","66%","28%","32%","26%","36%","42%","38%","37%","32%","26%","22%","51%","31%","36%","47%","37%","44%","38%","35%","37%","49%","34%","86%","64%","60%","59%","79%","9%","10%","22%","58%","87%","65%","63%","61%","68%","58%","50%","12%","11%",""
": Fixed term contract (n=9,840)","63%","70%","81%","70%","81%","51%","79%","78%","41%","46%","88%","72%","74%","53%","61%","84%","78%","82%","73%","78%","80%","67%","77%","80%","68%","69%","67%","45%","86%","82%","75%","62%","52%","44%","46%","83%","87%","67%","79%","86%","72%","78%","89%","75%","72%","75%","41%","40%","40%","51%","54%","51%","43%","47%","38%","34%","60%","38%","45%","69%","62%","46%","54%","52%","45%","53%","29%","90%","68%","61%","64%","78%","7%","14%","31%","48%","73%","49%","65%","65%","70%","62%","53%","9%","8%",""
