"Dept","Whitehall","value","measure","Period","group","change"
"AGO","Whitehall",-0.2,"Cumulative_Perc_net_change","2012Q2","AGO-Whitehall",-Inf
"AGO","Whitehall",-0.2,"Cumulative_Perc_net_change","2012Q3","AGO-Whitehall",-Inf
"AGO","Whitehall",-0.2,"Cumulative_Perc_net_change","2012Q4","AGO-Whitehall",-Inf
"AGO","Whitehall",-0.2,"Cumulative_Perc_net_change","2013Q1","AGO-Whitehall",-Inf
"AGO","Whitehall",-0.2,"Cumulative_Perc_net_change","2013Q2","AGO-Whitehall",-Inf
"AGO","Whitehall",-0.2,"Cumulative_Perc_net_change","2013Q3","AGO-Whitehall",-Inf
"AGO","Whitehall",-0.2,"Cumulative_Perc_net_change","2013Q4","AGO-Whitehall",-Inf
"BIS","Departmental Group",0,"Cumulative_Perc_net_change","2010Q3","BIS-Departmental Group",NA
"BIS","Departmental Group",-0.052497883,"Cumulative_Perc_net_change","2010Q4","BIS-Departmental Group",-Inf
"BIS","Departmental Group",-0.061812024,"Cumulative_Perc_net_change","2011Q1","BIS-Departmental Group",-Inf
"BIS","Departmental Group",-0.124470787,"Cumulative_Perc_net_change","2011Q2","BIS-Departmental Group",-Inf
"BIS","Departmental Group",-0.157493649,"Cumulative_Perc_net_change","2011Q3","BIS-Departmental Group",-Inf
"BIS","Departmental Group",-0.17166574,"Cumulative_Perc_net_change","2011Q4","BIS-Departmental Group",-Inf
"BIS","Departmental Group",-0.186326523,"Cumulative_Perc_net_change","2012Q1","BIS-Departmental Group",-Inf
"BIS","Departmental Group",-0.183385535,"Cumulative_Perc_net_change","2012Q2","BIS-Departmental Group",-Inf
"BIS","Departmental Group",-0.189746223,"Cumulative_Perc_net_change","2012Q3","BIS-Departmental Group",-Inf
"BIS","Departmental Group",-0.18534267,"Cumulative_Perc_net_change","2012Q4","BIS-Departmental Group",-Inf
"BIS","Departmental Group",-0.183874819,"Cumulative_Perc_net_change","2013Q1","BIS-Departmental Group",-Inf
"BIS","Departmental Group",-0.190235506,"Cumulative_Perc_net_change","2013Q2","BIS-Departmental Group",-Inf
"BIS","Departmental Group",-0.19463906,"Cumulative_Perc_net_change","2013Q3","BIS-Departmental Group",-Inf
"BIS","Departmental Group",-0.186321237,"Cumulative_Perc_net_change","2013Q4","BIS-Departmental Group",-Inf
"BIS","Non-Whitehall",0,"Cumulative_Perc_net_change","2010Q3","BIS-Non-Whitehall",NA
"BIS","Non-Whitehall",-0.034782609,"Cumulative_Perc_net_change","2010Q4","BIS-Non-Whitehall",-Inf
"BIS","Non-Whitehall",-0.045962733,"Cumulative_Perc_net_change","2011Q1","BIS-Non-Whitehall",-Inf
"BIS","Non-Whitehall",-0.10931677,"Cumulative_Perc_net_change","2011Q2","BIS-Non-Whitehall",-Inf
"BIS","Non-Whitehall",-0.12173913,"Cumulative_Perc_net_change","2011Q3","BIS-Non-Whitehall",-Inf
"BIS","Non-Whitehall",-0.141310403,"Cumulative_Perc_net_change","2011Q4","BIS-Non-Whitehall",-Inf
"BIS","Non-Whitehall",-0.163939688,"Cumulative_Perc_net_change","2012Q1","BIS-Non-Whitehall",-Inf
"BIS","Non-Whitehall",-0.165162892,"Cumulative_Perc_net_change","2012Q2","BIS-Non-Whitehall",-Inf
"BIS","Non-Whitehall",-0.171278915,"Cumulative_Perc_net_change","2012Q3","BIS-Non-Whitehall",-Inf
"BIS","Non-Whitehall",-0.166386097,"Cumulative_Perc_net_change","2012Q4","BIS-Non-Whitehall",-Inf
"BIS","Non-Whitehall",-0.166997699,"Cumulative_Perc_net_change","2013Q1","BIS-Non-Whitehall",-Inf
"BIS","Non-Whitehall",-0.171278915,"Cumulative_Perc_net_change","2013Q2","BIS-Non-Whitehall",-Inf
"BIS","Non-Whitehall",-0.176783335,"Cumulative_Perc_net_change","2013Q3","BIS-Non-Whitehall",-Inf
"BIS","Non-Whitehall",-0.166386097,"Cumulative_Perc_net_change","2013Q4","BIS-Non-Whitehall",-Inf
"BIS","Whitehall",0,"Cumulative_Perc_net_change","2010Q3","BIS-Whitehall",NA
"BIS","Whitehall",-0.090425532,"Cumulative_Perc_net_change","2010Q4","BIS-Whitehall",-Inf
"BIS","Whitehall",-0.095744681,"Cumulative_Perc_net_change","2011Q1","BIS-Whitehall",-Inf
"BIS","Whitehall",-0.156914894,"Cumulative_Perc_net_change","2011Q2","BIS-Whitehall",-Inf
"BIS","Whitehall",-0.234042553,"Cumulative_Perc_net_change","2011Q3","BIS-Whitehall",-Inf
"BIS","Whitehall",-0.22606383,"Cumulative_Perc_net_change","2011Q4","BIS-Whitehall",-Inf
"BIS","Whitehall",-0.207446809,"Cumulative_Perc_net_change","2012Q1","BIS-Whitehall",-Inf
"BIS","Whitehall",-0.185807131,"Cumulative_Perc_net_change","2012Q2","BIS-Whitehall",-Inf
"BIS","Whitehall",-0.193841929,"Cumulative_Perc_net_change","2012Q3","BIS-Whitehall",-Inf
"BIS","Whitehall",-0.191163663,"Cumulative_Perc_net_change","2012Q4","BIS-Whitehall",-Inf
"BIS","Whitehall",-0.180450599,"Cumulative_Perc_net_change","2013Q1","BIS-Whitehall",-Inf
"BIS","Whitehall",-0.196520195,"Cumulative_Perc_net_change","2013Q2","BIS-Whitehall",-Inf
"BIS","Whitehall",-0.196520195,"Cumulative_Perc_net_change","2013Q3","BIS-Whitehall",-Inf
"BIS","Whitehall",-0.196520195,"Cumulative_Perc_net_change","2013Q4","BIS-Whitehall",-Inf
"CO","Departmental Group",0,"Cumulative_Perc_net_change","2010Q3","CO-Departmental Group",NA
"CO","Departmental Group",-0.063988095,"Cumulative_Perc_net_change","2010Q4","CO-Departmental Group",-Inf
"CO","Departmental Group",-0.055059524,"Cumulative_Perc_net_change","2011Q1","CO-Departmental Group",-Inf
"CO","Departmental Group",-0.087797619,"Cumulative_Perc_net_change","2011Q2","CO-Departmental Group",-Inf
"CO","Departmental Group",-0.116071429,"Cumulative_Perc_net_change","2011Q3","CO-Departmental Group",-Inf
"CO","Departmental Group",-0.12797619,"Cumulative_Perc_net_change","2011Q4","CO-Departmental Group",-Inf
"CO","Departmental Group",-0.144345238,"Cumulative_Perc_net_change","2012Q1","CO-Departmental Group",-Inf
"CO","Departmental Group",-0.195979577,"Cumulative_Perc_net_change","2012Q2","CO-Departmental Group",-Inf
"CO","Departmental Group",-0.194512387,"Cumulative_Perc_net_change","2012Q3","CO-Departmental Group",-Inf
"CO","Departmental Group",-0.193045196,"Cumulative_Perc_net_change","2012Q4","CO-Departmental Group",-Inf
"CO","Departmental Group",-0.188643624,"Cumulative_Perc_net_change","2013Q1","CO-Departmental Group",-Inf
"CO","Departmental Group",-0.182774862,"Cumulative_Perc_net_change","2013Q2","CO-Departmental Group",-Inf
"CO","Departmental Group",-0.169570147,"Cumulative_Perc_net_change","2013Q3","CO-Departmental Group",-Inf
"CO","Departmental Group",-0.159299813,"Cumulative_Perc_net_change","2013Q4","CO-Departmental Group",-Inf
"CO","Non-Whitehall",0,"Cumulative_Perc_net_change","2010Q3","CO-Non-Whitehall",NA
"CO","Non-Whitehall",-0.074712644,"Cumulative_Perc_net_change","2010Q4","CO-Non-Whitehall",-Inf
"CO","Non-Whitehall",-0.074712644,"Cumulative_Perc_net_change","2011Q1","CO-Non-Whitehall",-Inf
"CO","Non-Whitehall",-0.099616858,"Cumulative_Perc_net_change","2011Q2","CO-Non-Whitehall",-Inf
"CO","Non-Whitehall",-0.137633035,"Cumulative_Perc_net_change","2011Q3","CO-Non-Whitehall",-Inf
"CO","Non-Whitehall",-0.155640698,"Cumulative_Perc_net_change","2011Q4","CO-Non-Whitehall",-Inf
"CO","Non-Whitehall",-0.181651767,"Cumulative_Perc_net_change","2012Q1","CO-Non-Whitehall",-Inf
"CO","Non-Whitehall",-0.250080885,"Cumulative_Perc_net_change","2012Q2","CO-Non-Whitehall",-Inf
"CO","Non-Whitehall",-0.241929591,"Cumulative_Perc_net_change","2012Q3","CO-Non-Whitehall",-Inf
"CO","Non-Whitehall",-0.246005238,"Cumulative_Perc_net_change","2012Q4","CO-Non-Whitehall",-Inf
"CO","Non-Whitehall",-0.241929591,"Cumulative_Perc_net_change","2013Q1","CO-Non-Whitehall",-Inf
"CO","Non-Whitehall",-0.248043062,"Cumulative_Perc_net_change","2013Q2","CO-Non-Whitehall",-Inf
"CO","Non-Whitehall",-0.237853943,"Cumulative_Perc_net_change","2013Q3","CO-Non-Whitehall",-Inf
"CO","Non-Whitehall",-0.23581612,"Cumulative_Perc_net_change","2013Q4","CO-Non-Whitehall",-Inf
"CO","Whitehall",0,"Cumulative_Perc_net_change","2010Q3","CO-Whitehall",NA
"CO","Whitehall",-0.026666667,"Cumulative_Perc_net_change","2010Q4","CO-Whitehall",-Inf
"CO","Whitehall",0.013333333,"Cumulative_Perc_net_change","2011Q1","CO-Whitehall",Inf
"CO","Whitehall",-0.046666667,"Cumulative_Perc_net_change","2011Q2","CO-Whitehall",-Inf
"CO","Whitehall",-0.046666667,"Cumulative_Perc_net_change","2011Q3","CO-Whitehall",-Inf
"CO","Whitehall",-0.040817996,"Cumulative_Perc_net_change","2011Q4","CO-Whitehall",-Inf
"CO","Whitehall",-0.029120654,"Cumulative_Perc_net_change","2012Q1","CO-Whitehall",-Inf
"CO","Whitehall",-0.03366278,"Cumulative_Perc_net_change","2012Q2","CO-Whitehall",-Inf
"CO","Whitehall",-0.0497684,"Cumulative_Perc_net_change","2012Q3","CO-Whitehall",-Inf
"CO","Whitehall",-0.03366278,"Cumulative_Perc_net_change","2012Q4","CO-Whitehall",-Inf
"CO","Whitehall",-0.02829424,"Cumulative_Perc_net_change","2013Q1","CO-Whitehall",-Inf
"CO","Whitehall",0.009285541,"Cumulative_Perc_net_change","2013Q2","CO-Whitehall",Inf
"CO","Whitehall",0.030759701,"Cumulative_Perc_net_change","2013Q3","CO-Whitehall",Inf
"CO","Whitehall",0.062970942,"Cumulative_Perc_net_change","2013Q4","CO-Whitehall",Inf
"DCLG","Departmental Group",0,"Cumulative_Perc_net_change","2010Q3","DCLG-Departmental Group",NA
"DCLG","Departmental Group",-0.019522777,"Cumulative_Perc_net_change","2010Q4","DCLG-Departmental Group",-Inf
"DCLG","Departmental Group",-0.088937093,"Cumulative_Perc_net_change","2011Q1","DCLG-Departmental Group",-Inf
"DCLG","Departmental Group",-0.147505423,"Cumulative_Perc_net_change","2011Q2","DCLG-Departmental Group",-Inf
"DCLG","Departmental Group",-0.130151844,"Cumulative_Perc_net_change","2011Q3","DCLG-Departmental Group",-Inf
"DCLG","Departmental Group",-0.203867789,"Cumulative_Perc_net_change","2011Q4","DCLG-Departmental Group",-Inf
"DCLG","Departmental Group",-0.221559616,"Cumulative_Perc_net_change","2012Q1","DCLG-Departmental Group",-Inf
"DCLG","Departmental Group",-0.251045994,"Cumulative_Perc_net_change","2012Q2","DCLG-Departmental Group",-Inf
"DCLG","Departmental Group",-0.262840546,"Cumulative_Perc_net_change","2012Q3","DCLG-Departmental Group",-Inf
"DCLG","Departmental Group",-0.265789183,"Cumulative_Perc_net_change","2012Q4","DCLG-Departmental Group",-Inf
"DCLG","Departmental Group",-0.25694327,"Cumulative_Perc_net_change","2013Q1","DCLG-Departmental Group",-Inf
"DCLG","Departmental Group",-0.281815462,"Cumulative_Perc_net_change","2013Q2","DCLG-Departmental Group",-Inf
"DCLG","Departmental Group",-0.25694327,"Cumulative_Perc_net_change","2013Q3","DCLG-Departmental Group",-Inf
"DCLG","Departmental Group",-0.247616198,"Cumulative_Perc_net_change","2013Q4","DCLG-Departmental Group",-Inf
"DCLG","Non-Whitehall",0,"Cumulative_Perc_net_change","2010Q3","DCLG-Non-Whitehall",NA
"DCLG","Non-Whitehall",-0.019138756,"Cumulative_Perc_net_change","2010Q4","DCLG-Non-Whitehall",-Inf
"DCLG","Non-Whitehall",-0.066985646,"Cumulative_Perc_net_change","2011Q1","DCLG-Non-Whitehall",-Inf
"DCLG","Non-Whitehall",-0.086124402,"Cumulative_Perc_net_change","2011Q2","DCLG-Non-Whitehall",-Inf
"DCLG","Non-Whitehall",-0.090909091,"Cumulative_Perc_net_change","2011Q3","DCLG-Non-Whitehall",-Inf
"DCLG","Non-Whitehall",-0.090909091,"Cumulative_Perc_net_change","2011Q4","DCLG-Non-Whitehall",-Inf
"DCLG","Non-Whitehall",-0.112554113,"Cumulative_Perc_net_change","2012Q1","DCLG-Non-Whitehall",-Inf
"DCLG","Non-Whitehall",-0.090909091,"Cumulative_Perc_net_change","2012Q2","DCLG-Non-Whitehall",-Inf
"DCLG","Non-Whitehall",-0.112554113,"Cumulative_Perc_net_change","2012Q3","DCLG-Non-Whitehall",-Inf
"DCLG","Non-Whitehall",-0.101731602,"Cumulative_Perc_net_change","2012Q4","DCLG-Non-Whitehall",-Inf
"DCLG","Non-Whitehall",-0.090909091,"Cumulative_Perc_net_change","2013Q1","DCLG-Non-Whitehall",-Inf
"DCLG","Non-Whitehall",-0.090909091,"Cumulative_Perc_net_change","2013Q2","DCLG-Non-Whitehall",-Inf
"DCLG","Non-Whitehall",-0.052496799,"Cumulative_Perc_net_change","2013Q3","DCLG-Non-Whitehall",-Inf
"DCLG","Non-Whitehall",-0.026888604,"Cumulative_Perc_net_change","2013Q4","DCLG-Non-Whitehall",-Inf
"DCLG","Whitehall",0,"Cumulative_Perc_net_change","2010Q3","DCLG-Whitehall",NA
"DCLG","Whitehall",-0.01984127,"Cumulative_Perc_net_change","2010Q4","DCLG-Whitehall",-Inf
"DCLG","Whitehall",-0.107142857,"Cumulative_Perc_net_change","2011Q1","DCLG-Whitehall",-Inf
"DCLG","Whitehall",-0.198412698,"Cumulative_Perc_net_change","2011Q2","DCLG-Whitehall",-Inf
"DCLG","Whitehall",-0.162698413,"Cumulative_Perc_net_change","2011Q3","DCLG-Whitehall",-Inf
"DCLG","Whitehall",-0.261904762,"Cumulative_Perc_net_change","2011Q4","DCLG-Whitehall",-Inf
"DCLG","Whitehall",-0.277777778,"Cumulative_Perc_net_change","2012Q1","DCLG-Whitehall",-Inf
"DCLG","Whitehall",-0.325396825,"Cumulative_Perc_net_change","2012Q2","DCLG-Whitehall",-Inf
"DCLG","Whitehall",-0.333333333,"Cumulative_Perc_net_change","2012Q3","DCLG-Whitehall",-Inf
"DCLG","Whitehall",-0.341269841,"Cumulative_Perc_net_change","2012Q4","DCLG-Whitehall",-Inf
"DCLG","Whitehall",-0.333333333,"Cumulative_Perc_net_change","2013Q1","DCLG-Whitehall",-Inf
"DCLG","Whitehall",-0.365079365,"Cumulative_Perc_net_change","2013Q2","DCLG-Whitehall",-Inf
"DCLG","Whitehall",-0.345238095,"Cumulative_Perc_net_change","2013Q3","DCLG-Whitehall",-Inf
"DCLG","Whitehall",-0.341269841,"Cumulative_Perc_net_change","2013Q4","DCLG-Whitehall",-Inf
"DCMS","Departmental Group",0,"Cumulative_Perc_net_change","2010Q3","DCMS-Departmental Group",NA
"DCMS","Departmental Group",0.01754386,"Cumulative_Perc_net_change","2010Q4","DCMS-Departmental Group",Inf
"DCMS","Departmental Group",0,"Cumulative_Perc_net_change","2011Q1","DCMS-Departmental Group",NA
"DCMS","Departmental Group",0.070175439,"Cumulative_Perc_net_change","2011Q2","DCMS-Departmental Group",Inf
"DCMS","Departmental Group",0,"Cumulative_Perc_net_change","2011Q3","DCMS-Departmental Group",NA
"DCMS","Departmental Group",0,"Cumulative_Perc_net_change","2011Q4","DCMS-Departmental Group",NA
"DCMS","Departmental Group",0,"Cumulative_Perc_net_change","2012Q1","DCMS-Departmental Group",NA
"DCMS","Departmental Group",0.01754386,"Cumulative_Perc_net_change","2012Q2","DCMS-Departmental Group",Inf
"DCMS","Departmental Group",0.140350877,"Cumulative_Perc_net_change","2012Q3","DCMS-Departmental Group",Inf
"DCMS","Departmental Group",-0.105263158,"Cumulative_Perc_net_change","2012Q4","DCMS-Departmental Group",-Inf
"DCMS","Departmental Group",-0.280701754,"Cumulative_Perc_net_change","2013Q1","DCMS-Departmental Group",-Inf
"DCMS","Departmental Group",-0.181974544,"Cumulative_Perc_net_change","2013Q2","DCMS-Departmental Group",-Inf
"DCMS","Departmental Group",-0.167870657,"Cumulative_Perc_net_change","2013Q3","DCMS-Departmental Group",-Inf
"DCMS","Departmental Group",-0.308909529,"Cumulative_Perc_net_change","2013Q4","DCMS-Departmental Group",-Inf
"DCMS","Non-Whitehall",0,"Cumulative_Perc_net_change","2010Q3","DCMS-Non-Whitehall",NA
"DCMS","Non-Whitehall",0.090909091,"Cumulative_Perc_net_change","2010Q4","DCMS-Non-Whitehall",Inf
"DCMS","Non-Whitehall",0.090909091,"Cumulative_Perc_net_change","2011Q1","DCMS-Non-Whitehall",Inf
"DCMS","Non-Whitehall",0.090909091,"Cumulative_Perc_net_change","2011Q2","DCMS-Non-Whitehall",Inf
"DCMS","Non-Whitehall",-1.11022e-16,"Cumulative_Perc_net_change","2011Q3","DCMS-Non-Whitehall",-Inf
"DCMS","Non-Whitehall",-1.11022e-16,"Cumulative_Perc_net_change","2011Q4","DCMS-Non-Whitehall",-Inf
"DCMS","Non-Whitehall",0.090909091,"Cumulative_Perc_net_change","2012Q1","DCMS-Non-Whitehall",Inf
"DCMS","Non-Whitehall",0.181818182,"Cumulative_Perc_net_change","2012Q2","DCMS-Non-Whitehall",Inf
"DCMS","Non-Whitehall",0.181818182,"Cumulative_Perc_net_change","2012Q3","DCMS-Non-Whitehall",Inf
"DCMS","Non-Whitehall",-3.33067e-16,"Cumulative_Perc_net_change","2012Q4","DCMS-Non-Whitehall",-Inf
"DCMS","Non-Whitehall",0.090909091,"Cumulative_Perc_net_change","2013Q1","DCMS-Non-Whitehall",Inf
"DCMS","Non-Whitehall",-5.55112e-16,"Cumulative_Perc_net_change","2013Q2","DCMS-Non-Whitehall",-Inf
"DCMS","Non-Whitehall",-5.55112e-16,"Cumulative_Perc_net_change","2013Q3","DCMS-Non-Whitehall",-Inf
"DCMS","Non-Whitehall",-5.55112e-16,"Cumulative_Perc_net_change","2013Q4","DCMS-Non-Whitehall",-Inf
"DCMS","Whitehall",0,"Cumulative_Perc_net_change","2010Q3","DCMS-Whitehall",NA
"DCMS","Whitehall",0,"Cumulative_Perc_net_change","2010Q4","DCMS-Whitehall",NA
"DCMS","Whitehall",-0.02173913,"Cumulative_Perc_net_change","2011Q1","DCMS-Whitehall",-Inf
"DCMS","Whitehall",0.065217391,"Cumulative_Perc_net_change","2011Q2","DCMS-Whitehall",Inf
"DCMS","Whitehall",-1.11022e-16,"Cumulative_Perc_net_change","2011Q3","DCMS-Whitehall",-Inf
"DCMS","Whitehall",-1.11022e-16,"Cumulative_Perc_net_change","2011Q4","DCMS-Whitehall",-Inf
"DCMS","Whitehall",-0.02173913,"Cumulative_Perc_net_change","2012Q1","DCMS-Whitehall",-Inf
"DCMS","Whitehall",-0.02173913,"Cumulative_Perc_net_change","2012Q2","DCMS-Whitehall",-Inf
"DCMS","Whitehall",0.130434783,"Cumulative_Perc_net_change","2012Q3","DCMS-Whitehall",Inf
"DCMS","Whitehall",-0.130434783,"Cumulative_Perc_net_change","2012Q4","DCMS-Whitehall",-Inf
"DCMS","Whitehall",-0.369565217,"Cumulative_Perc_net_change","2013Q1","DCMS-Whitehall",-Inf
"DCMS","Whitehall",-0.240245262,"Cumulative_Perc_net_change","2013Q2","DCMS-Whitehall",-Inf
"DCMS","Whitehall",-0.224080268,"Cumulative_Perc_net_change","2013Q3","DCMS-Whitehall",-Inf
"DCMS","Whitehall",-0.385730212,"Cumulative_Perc_net_change","2013Q4","DCMS-Whitehall",-Inf
"DECC","Departmental Group",0,"Cumulative_Perc_net_change","2010Q3","DECC-Departmental Group",NA
"DECC","Departmental Group",0.019607843,"Cumulative_Perc_net_change","2010Q4","DECC-Departmental Group",Inf
"DECC","Departmental Group",0.039215686,"Cumulative_Perc_net_change","2011Q1","DECC-Departmental Group",Inf
"DECC","Departmental Group",0.065359477,"Cumulative_Perc_net_change","2011Q2","DECC-Departmental Group",Inf
"DECC","Departmental Group",0.117647059,"Cumulative_Perc_net_change","2011Q3","DECC-Departmental Group",Inf
"DECC","Departmental Group",0.150326797,"Cumulative_Perc_net_change","2011Q4","DECC-Departmental Group",Inf
"DECC","Departmental Group",0.202614379,"Cumulative_Perc_net_change","2012Q1","DECC-Departmental Group",Inf
"DECC","Departmental Group",0.235294118,"Cumulative_Perc_net_change","2012Q2","DECC-Departmental Group",Inf
"DECC","Departmental Group",0.300653595,"Cumulative_Perc_net_change","2012Q3","DECC-Departmental Group",Inf
"DECC","Departmental Group",0.333333333,"Cumulative_Perc_net_change","2012Q4","DECC-Departmental Group",Inf
"DECC","Departmental Group",0.385620915,"Cumulative_Perc_net_change","2013Q1","DECC-Departmental Group",Inf
"DECC","Departmental Group",0.444444444,"Cumulative_Perc_net_change","2013Q2","DECC-Departmental Group",Inf
"DECC","Departmental Group",0.477124183,"Cumulative_Perc_net_change","2013Q3","DECC-Departmental Group",Inf
"DECC","Departmental Group",0.535947712,"Cumulative_Perc_net_change","2013Q4","DECC-Departmental Group",Inf
"DECC","Non-Whitehall",0,"Cumulative_Perc_net_change","2010Q3","DECC-Non-Whitehall",NA
"DECC","Non-Whitehall",0.048780488,"Cumulative_Perc_net_change","2010Q4","DECC-Non-Whitehall",Inf
"DECC","Non-Whitehall",0.073170732,"Cumulative_Perc_net_change","2011Q1","DECC-Non-Whitehall",Inf
"DECC","Non-Whitehall",0.12195122,"Cumulative_Perc_net_change","2011Q2","DECC-Non-Whitehall",Inf
"DECC","Non-Whitehall",0.268292683,"Cumulative_Perc_net_change","2011Q3","DECC-Non-Whitehall",Inf
"DECC","Non-Whitehall",0.292682927,"Cumulative_Perc_net_change","2011Q4","DECC-Non-Whitehall",Inf
"DECC","Non-Whitehall",0.341463415,"Cumulative_Perc_net_change","2012Q1","DECC-Non-Whitehall",Inf
"DECC","Non-Whitehall",0.390243902,"Cumulative_Perc_net_change","2012Q2","DECC-Non-Whitehall",Inf
"DECC","Non-Whitehall",0.512195122,"Cumulative_Perc_net_change","2012Q3","DECC-Non-Whitehall",Inf
"DECC","Non-Whitehall",0.585365854,"Cumulative_Perc_net_change","2012Q4","DECC-Non-Whitehall",Inf
"DECC","Non-Whitehall",0.682926829,"Cumulative_Perc_net_change","2013Q1","DECC-Non-Whitehall",Inf
"DECC","Non-Whitehall",0.780487805,"Cumulative_Perc_net_change","2013Q2","DECC-Non-Whitehall",Inf
"DECC","Non-Whitehall",0.853658537,"Cumulative_Perc_net_change","2013Q3","DECC-Non-Whitehall",Inf
"DECC","Non-Whitehall",0.902439024,"Cumulative_Perc_net_change","2013Q4","DECC-Non-Whitehall",Inf
"DECC","Whitehall",0,"Cumulative_Perc_net_change","2010Q3","DECC-Whitehall",NA
"DECC","Whitehall",0.008928571,"Cumulative_Perc_net_change","2010Q4","DECC-Whitehall",Inf
"DECC","Whitehall",0.026785714,"Cumulative_Perc_net_change","2011Q1","DECC-Whitehall",Inf
"DECC","Whitehall",0.044642857,"Cumulative_Perc_net_change","2011Q2","DECC-Whitehall",Inf
"DECC","Whitehall",0.0625,"Cumulative_Perc_net_change","2011Q3","DECC-Whitehall",Inf
"DECC","Whitehall",0.098214286,"Cumulative_Perc_net_change","2011Q4","DECC-Whitehall",Inf
"DECC","Whitehall",0.151785714,"Cumulative_Perc_net_change","2012Q1","DECC-Whitehall",Inf
"DECC","Whitehall",0.178571429,"Cumulative_Perc_net_change","2012Q2","DECC-Whitehall",Inf
"DECC","Whitehall",0.223214286,"Cumulative_Perc_net_change","2012Q3","DECC-Whitehall",Inf
"DECC","Whitehall",0.241071429,"Cumulative_Perc_net_change","2012Q4","DECC-Whitehall",Inf
"DECC","Whitehall",0.276785714,"Cumulative_Perc_net_change","2013Q1","DECC-Whitehall",Inf
