"variable","dimension","split","value","measure","questiontext","split_n","dim_id","eng_score_component"
"b02","Grade","SCS",0.93,"B02","I am sufficiently challenged by my work",4193,"",FALSE
"b02","Country usually work in","England",0.77,"B02","I am sufficiently challenged by my work",210200,"H01",FALSE
"b02","Country usually work in","Scotland",0.78,"B02","I am sufficiently challenged by my work",25648,"H01",FALSE
"b02","Country usually work in","Wales",0.78,"B02","I am sufficiently challenged by my work",18642,"H01",FALSE
"b02","Country usually work in","Northern Ireland",0.78,"B02","I am sufficiently challenged by my work",1476,"H01",FALSE
"b02","Country usually work in","Overseas",0.82,"B02","I am sufficiently challenged by my work",12861,"H01",FALSE
"b02","Region of England usually work in","East Midlands",0.77,"B02","I am sufficiently challenged by my work",12102,"H1A",FALSE
"b02","Region of England usually work in","East of England",0.77,"B02","I am sufficiently challenged by my work",11063,"H1A",FALSE
"b02","Region of England usually work in","London",0.78,"B02","I am sufficiently challenged by my work",51504,"H1A",FALSE
"b02","Region of England usually work in","North East England",0.76,"B02","I am sufficiently challenged by my work",18532,"H1A",FALSE
"b02","Region of England usually work in","North West England",0.77,"B02","I am sufficiently challenged by my work",28406,"H1A",FALSE
"b02","Region of England usually work in","South East England",0.77,"B02","I am sufficiently challenged by my work",25591,"H1A",FALSE
"b02","Region of England usually work in","South West England",0.79,"B02","I am sufficiently challenged by my work",27808,"H1A",FALSE
"b02","Region of England usually work in","West Midlands",0.75,"B02","I am sufficiently challenged by my work",15854,"H1A",FALSE
"b02","Region of England usually work in","Yorkshire and the Humber",0.76,"B02","I am sufficiently challenged by my work",17330,"H1A",FALSE
"b02","Time in current job","Less than 1 year",0.8,"B02","I am sufficiently challenged by my work",58890,"H02",FALSE
"b02","Time in current job","1 year but less than 3 years",0.79,"B02","I am sufficiently challenged by my work",61428,"H02",FALSE
"b02","Time in current job","3 years but less than 5 years",0.77,"B02","I am sufficiently challenged by my work",38332,"H02",FALSE
"b02","Time in current job","5 years but less than 10 years",0.75,"B02","I am sufficiently challenged by my work",53962,"H02",FALSE
"b02","Time in current job","10 years or more",0.77,"B02","I am sufficiently challenged by my work",53584,"H02",FALSE
"b02","Time in organisation (or predecessor)","Less than 1 year",0.76,"B02","I am sufficiently challenged by my work",16436,"H03",FALSE
"b02","Time in organisation (or predecessor)","1 year but less than 3 years",0.75,"B02","I am sufficiently challenged by my work",17550,"H03",FALSE
"b02","Time in organisation (or predecessor)","3 years but less than 5 years",0.74,"B02","I am sufficiently challenged by my work",20460,"H03",FALSE
"b02","Time in organisation (or predecessor)","5 years but less than 10 years",0.73,"B02","I am sufficiently challenged by my work",48419,"H03",FALSE
"b02","Time in organisation (or predecessor)","10 years or more",0.8,"B02","I am sufficiently challenged by my work",147675,"H03",FALSE
"b02","Time in Civil Service","Less than 1 year",0.75,"B02","I am sufficiently challenged by my work",14876,"H04",FALSE
"b02","Time in Civil Service","1 year but less than 3 years",0.74,"B02","I am sufficiently challenged by my work",12249,"H04",FALSE
"b02","Time in Civil Service","3 years but less than 5 years",0.74,"B02","I am sufficiently challenged by my work",17299,"H04",FALSE
"b02","Time in Civil Service","5 years but less than 10 years",0.73,"B02","I am sufficiently challenged by my work",44849,"H04",FALSE
"b02","Time in Civil Service","10 years or more",0.8,"B02","I am sufficiently challenged by my work",154217,"H04",FALSE
"b02","Manager status","Non-manager",0.73,"B02","I am sufficiently challenged by my work",185009,"H05",FALSE
"b02","Manager status","Manager",0.87,"B02","I am sufficiently challenged by my work",81009,"H05",FALSE
"b02","Working pattern","Full-time",0.78,"B02","I am sufficiently challenged by my work",216469,"H06",FALSE
"b02","Working pattern","Part-time",0.76,"B02","I am sufficiently challenged by my work",50954,"H06",FALSE
"b02","Working pattern","Job-share",0.79,"B02","I am sufficiently challenged by my work",821,"H06",FALSE
"b02","Employment status","Permanent contract",0.78,"B02","I am sufficiently challenged by my work",251751,"H07",FALSE
"b02","Employment status","Fixed term contract",0.72,"B02","I am sufficiently challenged by my work",9840,"H07",FALSE
"b02","Employment status","Loaned from other CS organisation",0.84,"B02","I am sufficiently challenged by my work",2270,"H07",FALSE
"b02","Employment status","Temporary/agency worker",0.66,"B02","I am sufficiently challenged by my work",2435,"H07",FALSE
"b02","Employment status","Contractor/freelancer",0.8,"B02","I am sufficiently challenged by my work",1167,"H07",FALSE
"b02","Employment status","Secondee from outside CS",0.87,"B02","I am sufficiently challenged by my work",1185,"H07",FALSE
"b02","Occupation of main role - major groups","Operations",0.75,"B02","I am sufficiently challenged by my work",158154,"H08",FALSE
"b02","Occupation of main role - major groups","Corporate Services",0.8,"B02","I am sufficiently challenged by my work",47213,"H08",FALSE
"b02","Occupation of main role - major groups","Policy",0.84,"B02","I am sufficiently challenged by my work",17102,"H08",FALSE
"b02","Occupation of main role - major groups","Specialist services",0.82,"B02","I am sufficiently challenged by my work",27836,"H08",FALSE
"b02","Occupation of main role - major groups","Other",0.76,"B02","I am sufficiently challenged by my work",14756,"H08",FALSE
"b02","Development scheme","Not on a development scheme",0.77,"B02","I am sufficiently challenged by my work",255315,"H09",FALSE
"b02","Development scheme","Civil Service Fast Stream schemes",0.81,"B02","I am sufficiently challenged by my work",2285,"H09",FALSE
"b02","Development scheme","Other development scheme",0.84,"B02","I am sufficiently challenged by my work",5666,"H09",FALSE
"b02","Sex","Male",0.78,"B02","I am sufficiently challenged by my work",113109,"J01",FALSE
"b02","Sex","Female",0.79,"B02","I am sufficiently challenged by my work",125295,"J01",FALSE
"b02","Age","Aged 16-34",0.72,"B02","I am sufficiently challenged by my work",52923,"J02",FALSE
"b02","Age","Aged 35-44",0.79,"B02","I am sufficiently challenged by my work",60476,"J02",FALSE
"b02","Age","Aged 45-54",0.82,"B02","I am sufficiently challenged by my work",79941,"J02",FALSE
"b02","Age","Aged 55+",0.81,"B02","I am sufficiently challenged by my work",40346,"J02",FALSE
"b02","Ethnicity - binary","White",0.79,"B02","I am sufficiently challenged by my work",216883,"J03",FALSE
"b02","Ethnicity - binary","BME",0.77,"B02","I am sufficiently challenged by my work",22776,"J03",FALSE
"b02","Ethnicity - major group","White",0.79,"B02","I am sufficiently challenged by my work",216883,"J03",FALSE
"b02","Ethnicity - major group","Mixed",0.77,"B02","I am sufficiently challenged by my work",3319,"J03",FALSE
"b02","Ethnicity - major group","Asian",0.78,"B02","I am sufficiently challenged by my work",11620,"J03",FALSE
"b02","Ethnicity - major group","Black",0.74,"B02","I am sufficiently challenged by my work",6511,"J03",FALSE
"b02","Ethnicity - major group","Other ethnic group",0.79,"B02","I am sufficiently challenged by my work",1326,"J03",FALSE
"b02","Long-term health","No long-term limiting illness or condition",0.79,"B02","I am sufficiently challenged by my work",227203,"J04",FALSE
"b02","Long-term health","Long-term limiting illness or condition",0.72,"B02","I am sufficiently challenged by my work",20700,"J04",FALSE
"b02","Caring status","Not a carer",0.78,"B02","I am sufficiently challenged by my work",194596,"J05",FALSE
"b02","Caring status","Carer for others",0.79,"B02","I am sufficiently challenged by my work",56905,"J05",FALSE
"b02","Childcare status","No childcare responsibilities",0.78,"B02","I am sufficiently challenged by my work",165273,"J06",FALSE
"b02","Childcare status","Has childcare responsibilities",0.79,"B02","I am sufficiently challenged by my work",85962,"J06",FALSE
"b02","Sexual identity","Heterosexual/straight",0.79,"B02","I am sufficiently challenged by my work",223402,"J07",FALSE
"b02","Sexual identity","Gay, lesbian or bisexual",0.74,"B02","I am sufficiently challenged by my work",7524,"J07",FALSE
"b02","Sexual identity","Other",0.67,"B02","I am sufficiently challenged by my work",1541,"J07",FALSE
"b02","Religious identity","No religion",0.76,"B02","I am sufficiently challenged by my work",84120,"J08",FALSE
"b02","Religious identity","Christian",0.81,"B02","I am sufficiently challenged by my work",131231,"J08",FALSE
"b02","Religious identity","Buddhist",0.73,"B02","I am sufficiently challenged by my work",1389,"J08",FALSE
"b02","Religious identity","Hindu",0.8,"B02","I am sufficiently challenged by my work",3539,"J08",FALSE
"b02","Religious identity","Jewish",0.75,"B02","I am sufficiently challenged by my work",815,"J08",FALSE
"b02","Religious identity","Muslim",0.79,"B02","I am sufficiently challenged by my work",5725,"J08",FALSE
"b02","Religious identity","Sikh",0.75,"B02","I am sufficiently challenged by my work",1433,"J08",FALSE
"b02","Religious identity","Any other religion",0.71,"B02","I am sufficiently challenged by my work",4221,"J08",FALSE
"b03","Grade","AO/AA",0.65,"B03","My work gives me a sense of personal accomplishment",77720,"",FALSE
"b03","Grade","EO",0.73,"B03","My work gives me a sense of personal accomplishment",72857,"",FALSE
"b03","Grade","SEO/HEO",0.77,"B03","My work gives me a sense of personal accomplishment",68329,"",FALSE
"b03","Grade","G6/G7",0.83,"B03","My work gives me a sense of personal accomplishment",27956,"",FALSE
"b03","Grade","SCS",0.92,"B03","My work gives me a sense of personal accomplishment",4193,"",FALSE
"b03","Country usually work in","England",0.72,"B03","My work gives me a sense of personal accomplishment",210200,"H01",FALSE
"b03","Country usually work in","Scotland",0.73,"B03","My work gives me a sense of personal accomplishment",25648,"H01",FALSE
"b03","Country usually work in","Wales",0.74,"B03","My work gives me a sense of personal accomplishment",18642,"H01",FALSE
"b03","Country usually work in","Northern Ireland",0.71,"B03","My work gives me a sense of personal accomplishment",1476,"H01",FALSE
"b03","Country usually work in","Overseas",0.81,"B03","My work gives me a sense of personal accomplishment",12861,"H01",FALSE
"b03","Region of England usually work in","East Midlands",0.71,"B03","My work gives me a sense of personal accomplishment",12102,"H1A",FALSE
"b03","Region of England usually work in","East of England",0.72,"B03","My work gives me a sense of personal accomplishment",11063,"H1A",FALSE
"b03","Region of England usually work in","London",0.75,"B03","My work gives me a sense of personal accomplishment",51504,"H1A",FALSE
"b03","Region of England usually work in","North East England",0.69,"B03","My work gives me a sense of personal accomplishment",18532,"H1A",FALSE
"b03","Region of England usually work in","North West England",0.72,"B03","My work gives me a sense of personal accomplishment",28406,"H1A",FALSE
"b03","Region of England usually work in","South East England",0.71,"B03","My work gives me a sense of personal accomplishment",25591,"H1A",FALSE
"b03","Region of England usually work in","South West England",0.73,"B03","My work gives me a sense of personal accomplishment",27808,"H1A",FALSE
"b03","Region of England usually work in","West Midlands",0.7,"B03","My work gives me a sense of personal accomplishment",15854,"H1A",FALSE
"b03","Region of England usually work in","Yorkshire and the Humber",0.7,"B03","My work gives me a sense of personal accomplishment",17330,"H1A",FALSE
"b03","Time in current job","Less than 1 year",0.76,"B03","My work gives me a sense of personal accomplishment",58890,"H02",FALSE
"b03","Time in current job","1 year but less than 3 years",0.74,"B03","My work gives me a sense of personal accomplishment",61428,"H02",FALSE
"b03","Time in current job","3 years but less than 5 years",0.73,"B03","My work gives me a sense of personal accomplishment",38332,"H02",FALSE
"b03","Time in current job","5 years but less than 10 years",0.7,"B03","My work gives me a sense of personal accomplishment",53962,"H02",FALSE
"b03","Time in current job","10 years or more",0.7,"B03","My work gives me a sense of personal accomplishment",53584,"H02",FALSE
"b03","Time in organisation (or predecessor)","Less than 1 year",0.77,"B03","My work gives me a sense of personal accomplishment",16436,"H03",FALSE
"b03","Time in organisation (or predecessor)","1 year but less than 3 years",0.74,"B03","My work gives me a sense of personal accomplishment",17550,"H03",FALSE
"b03","Time in organisation (or predecessor)","3 years but less than 5 years",0.71,"B03","My work gives me a sense of personal accomplishment",20460,"H03",FALSE
"b03","Time in organisation (or predecessor)","5 years but less than 10 years",0.69,"B03","My work gives me a sense of personal accomplishment",48419,"H03",FALSE
"b03","Time in organisation (or predecessor)","10 years or more",0.74,"B03","My work gives me a sense of personal accomplishment",147675,"H03",FALSE
"b03","Time in Civil Service","Less than 1 year",0.77,"B03","My work gives me a sense of personal accomplishment",14876,"H04",FALSE
"b03","Time in Civil Service","1 year but less than 3 years",0.74,"B03","My work gives me a sense of personal accomplishment",12249,"H04",FALSE
"b03","Time in Civil Service","3 years but less than 5 years",0.72,"B03","My work gives me a sense of personal accomplishment",17299,"H04",FALSE
"b03","Time in Civil Service","5 years but less than 10 years",0.69,"B03","My work gives me a sense of personal accomplishment",44849,"H04",FALSE
"b03","Time in Civil Service","10 years or more",0.73,"B03","My work gives me a sense of personal accomplishment",154217,"H04",FALSE
"b03","Manager status","Non-manager",0.69,"B03","My work gives me a sense of personal accomplishment",185009,"H05",FALSE
"b03","Manager status","Manager",0.81,"B03","My work gives me a sense of personal accomplishment",81009,"H05",FALSE
"b03","Working pattern","Full-time",0.73,"B03","My work gives me a sense of personal accomplishment",216469,"H06",FALSE
"b03","Working pattern","Part-time",0.71,"B03","My work gives me a sense of personal accomplishment",50954,"H06",FALSE
"b03","Working pattern","Job-share",0.73,"B03","My work gives me a sense of personal accomplishment",821,"H06",FALSE
"b03","Employment status","Permanent contract",0.73,"B03","My work gives me a sense of personal accomplishment",251751,"H07",FALSE
"b03","Employment status","Fixed term contract",0.74,"B03","My work gives me a sense of personal accomplishment",9840,"H07",FALSE
"b03","Employment status","Loaned from other CS organisation",0.83,"B03","My work gives me a sense of personal accomplishment",2270,"H07",FALSE
"b03","Employment status","Temporary/agency worker",0.71,"B03","My work gives me a sense of personal accomplishment",2435,"H07",FALSE
"b03","Employment status","Contractor/freelancer",0.81,"B03","My work gives me a sense of personal accomplishment",1167,"H07",FALSE
"b03","Employment status","Secondee from outside CS",0.86,"B03","My work gives me a sense of personal accomplishment",1185,"H07",FALSE
"b03","Occupation of main role - major groups","Operations",0.71,"B03","My work gives me a sense of personal accomplishment",158154,"H08",FALSE
"b03","Occupation of main role - major groups","Corporate Services",0.75,"B03","My work gives me a sense of personal accomplishment",47213,"H08",FALSE
"b03","Occupation of main role - major groups","Policy",0.79,"B03","My work gives me a sense of personal accomplishment",17102,"H08",FALSE
"b03","Occupation of main role - major groups","Specialist services",0.78,"B03","My work gives me a sense of personal accomplishment",27836,"H08",FALSE
"b03","Occupation of main role - major groups","Other",0.7,"B03","My work gives me a sense of personal accomplishment",14756,"H08",FALSE
"b03","Development scheme","Not on a development scheme",0.73,"B03","My work gives me a sense of personal accomplishment",255315,"H09",FALSE
"b03","Development scheme","Civil Service Fast Stream schemes",0.8,"B03","My work gives me a sense of personal accomplishment",2285,"H09",FALSE
"b03","Development scheme","Other development scheme",0.81,"B03","My work gives me a sense of personal accomplishment",5666,"H09",FALSE
"b03","Sex","Male",0.72,"B03","My work gives me a sense of personal accomplishment",113109,"J01",FALSE
"b03","Sex","Female",0.76,"B03","My work gives me a sense of personal accomplishment",125295,"J01",FALSE
"b03","Age","Aged 16-34",0.7,"B03","My work gives me a sense of personal accomplishment",52923,"J02",FALSE
"b03","Age","Aged 35-44",0.74,"B03","My work gives me a sense of personal accomplishment",60476,"J02",FALSE
"b03","Age","Aged 45-54",0.76,"B03","My work gives me a sense of personal accomplishment",79941,"J02",FALSE
"b03","Age","Aged 55+",0.78,"B03","My work gives me a sense of personal accomplishment",40346,"J02",FALSE
"b03","Ethnicity - binary","White",0.74,"B03","My work gives me a sense of personal accomplishment",216883,"J03",FALSE
"b03","Ethnicity - binary","BME",0.76,"B03","My work gives me a sense of personal accomplishment",22776,"J03",FALSE
"b03","Ethnicity - major group","White",0.74,"B03","My work gives me a sense of personal accomplishment",216883,"J03",FALSE
"b03","Ethnicity - major group","Mixed",0.75,"B03","My work gives me a sense of personal accomplishment",3319,"J03",FALSE
"b03","Ethnicity - major group","Asian",0.77,"B03","My work gives me a sense of personal accomplishment",11620,"J03",FALSE
"b03","Ethnicity - major group","Black",0.76,"B03","My work gives me a sense of personal accomplishment",6511,"J03",FALSE
"b03","Ethnicity - major group","Other ethnic group",0.74,"B03","My work gives me a sense of personal accomplishment",1326,"J03",FALSE
"b03","Long-term health","No long-term limiting illness or condition",0.75,"B03","My work gives me a sense of personal accomplishment",227203,"J04",FALSE
"b03","Long-term health","Long-term limiting illness or condition",0.66,"B03","My work gives me a sense of personal accomplishment",20700,"J04",FALSE
"b03","Caring status","Not a carer",0.74,"B03","My work gives me a sense of personal accomplishment",194596,"J05",FALSE
"b03","Caring status","Carer for others",0.73,"B03","My work gives me a sense of personal accomplishment",56905,"J05",FALSE
"b03","Childcare status","No childcare responsibilities",0.73,"B03","My work gives me a sense of personal accomplishment",165273,"J06",FALSE
"b03","Childcare status","Has childcare responsibilities",0.75,"B03","My work gives me a sense of personal accomplishment",85962,"J06",FALSE
"b03","Sexual identity","Heterosexual/straight",0.75,"B03","My work gives me a sense of personal accomplishment",223402,"J07",FALSE
"b03","Sexual identity","Gay, lesbian or bisexual",0.7,"B03","My work gives me a sense of personal accomplishment",7524,"J07",FALSE
"b03","Sexual identity","Other",0.59,"B03","My work gives me a sense of personal accomplishment",1541,"J07",FALSE
"b03","Religious identity","No religion",0.71,"B03","My work gives me a sense of personal accomplishment",84120,"J08",FALSE
"b03","Religious identity","Christian",0.77,"B03","My work gives me a sense of personal accomplishment",131231,"J08",FALSE
"b03","Religious identity","Buddhist",0.69,"B03","My work gives me a sense of personal accomplishment",1389,"J08",FALSE
"b03","Religious identity","Hindu",0.78,"B03","My work gives me a sense of personal accomplishment",3539,"J08",FALSE
"b03","Religious identity","Jewish",0.72,"B03","My work gives me a sense of personal accomplishment",815,"J08",FALSE
"b03","Religious identity","Muslim",0.77,"B03","My work gives me a sense of personal accomplishment",5725,"J08",FALSE
"b03","Religious identity","Sikh",0.74,"B03","My work gives me a sense of personal accomplishment",1433,"J08",FALSE
"b03","Religious identity","Any other religion",0.65,"B03","My work gives me a sense of personal accomplishment",4221,"J08",FALSE
"b04","Grade","AO/AA",0.42,"B04","I feel involved in the decisions that affect my work",77720,"",FALSE
"b04","Grade","EO",0.48,"B04","I feel involved in the decisions that affect my work",72857,"",FALSE
"b04","Grade","SEO/HEO",0.58,"B04","I feel involved in the decisions that affect my work",68329,"",FALSE
"b04","Grade","G6/G7",0.69,"B04","I feel involved in the decisions that affect my work",27956,"",FALSE
"b04","Grade","SCS",0.86,"B04","I feel involved in the decisions that affect my work",4193,"",FALSE
"b04","Country usually work in","England",0.51,"B04","I feel involved in the decisions that affect my work",210200,"H01",FALSE
"b04","Country usually work in","Scotland",0.51,"B04","I feel involved in the decisions that affect my work",25648,"H01",FALSE
"b04","Country usually work in","Wales",0.52,"B04","I feel involved in the decisions that affect my work",18642,"H01",FALSE
"b04","Country usually work in","Northern Ireland",0.5,"B04","I feel involved in the decisions that affect my work",1476,"H01",FALSE
"b04","Country usually work in","Overseas",0.62,"B04","I feel involved in the decisions that affect my work",12861,"H01",FALSE
"b04","Region of England usually work in","East Midlands",0.47,"B04","I feel involved in the decisions that affect my work",12102,"H1A",FALSE
"b04","Region of England usually work in","East of England",0.47,"B04","I feel involved in the decisions that affect my work",11063,"H1A",FALSE
"b04","Region of England usually work in","London",0.57,"B04","I feel involved in the decisions that affect my work",51504,"H1A",FALSE
"b04","Region of England usually work in","North East England",0.47,"B04","I feel involved in the decisions that affect my work",18532,"H1A",FALSE
"b04","Region of England usually work in","North West England",0.5,"B04","I feel involved in the decisions that affect my work",28406,"H1A",FALSE
"b04","Region of England usually work in","South East England",0.48,"B04","I feel involved in the decisions that affect my work",25591,"H1A",FALSE
"b04","Region of England usually work in","South West England",0.52,"B04","I feel involved in the decisions that affect my work",27808,"H1A",FALSE
"b04","Region of England usually work in","West Midlands",0.47,"B04","I feel involved in the decisions that affect my work",15854,"H1A",FALSE
"b04","Region of England usually work in","Yorkshire and the Humber",0.48,"B04","I feel involved in the decisions that affect my work",17330,"H1A",FALSE
"b04","Time in current job","Less than 1 year",0.59,"B04","I feel involved in the decisions that affect my work",58890,"H02",FALSE
"b04","Time in current job","1 year but less than 3 years",0.56,"B04","I feel involved in the decisions that affect my work",61428,"H02",FALSE
"b04","Time in current job","3 years but less than 5 years",0.51,"B04","I feel involved in the decisions that affect my work",38332,"H02",FALSE
