Order number,Organisation,Dept,ONS Q1-2 2009,ONS Q3-4 2009,ONS Q3-4 2009 [L],ONS Q1-2 2010,ONS Q1-2 2010 [L],ONS Q2-3 2010,ONS Q2-3 2010 [L],ONS Q3-4 2010,ONS Q3-4 [L],ONS Q4 2010 - Q1 2011 [L],ONS Q1 2011 - Q2 2011[L],ONS Q2 2011 - Q3 2011 [L],ONS Q3 2011 - Q4 2011 [L],ONS Q4 2011 - Q1 2012,ONS Q1 2012 - Q2 2012,Dept detail / Agency,Whitehall?,2009 Q1 FTE,2009 Q2 FTE,2009 Q3 FTE,2009 Q4 FTE,2010 Q1 FTE,2010 Q2 FTE,2010 Q3 FTE,2010 Q4 FTE,2011 Q1 FTE,2011 Q2 FTE,2011 Q3 FTE,2011 Q4 FTE,2012 Q1 FTE,2012 Q2 FTE
20,"Business, Innovation and Skills",BIS,,,,,,Skills Funding Agency,Skills Funding Agency,,Skills Funding Agency,Skills Funding Agency,Skills Funding Agency ,Skills Funding Agency,Skills Funding Agency,Skills Funding Agency,Skills Funding Agency,Skills Funding Agency,Non-Whitehall Civil Service,,,,,,1840,1820,1600,1610,1560,1500,1500,1230,1210
21,"Business, Innovation and Skills",BIS,UK Intellectual Property Office,,UK Intellectual Property Office,,UK Intellectual Property Office,,UK Intellectual Property Office,,UK Intellectual Property Office,UK Intellectual Property Office,UK Intellectual Property Office,UK Intellectual Property Office,UK Intellectual Property Office,UK Intellectual Property Office,UK Intellectual Property Office,UK Intellectual Property Office,Non-Whitehall Civil Service,0,910,880,860,870,860,840,850,850,860,860,850,860,890
22,"Business, Innovation and Skills",BIS,,,,,,,,,,,,HM Land Registry,HM Land Registry,HM Land Registry,HM Land Registry,HM Land Registry,Non-Whitehall Civil Service,,,,,,,,,,,4470,4240,4180,4140
23,"Business, Innovation and Skills",BIS,,,,,,,,,,,,Met Office,Met Office,Met Office,Met Office,Met Office,Non-Whitehall Civil Service,,,,,,,,,,,1760,1800,1820,1880
24,"Business, Innovation and Skills",BIS,,,,,,,,,,,,Ordnance Survey,Ordnance Survey,Ordnance Survey,Ordnance Survey,Ordnance Survey,Non-Whitehall Civil Service,,,,,,,,,,,1060,1060,1040,1040
25,Cabinet Office ,CO,,,,,,Buying Solutions,Buying Solutions,,Buying Solutions,Buying Solutions,Buying Solutions,Buying Solutions,Buying Solutions,Buying Solutions,Buying Solutions,Buying Solutions,Non-Whitehall Civil Service,,,,,,390,360,360,360,,,,,
26,Cabinet Office ,CO,Cabinet Office excl agencies,,Cabinet Office excl agencies,,Cabinet Office excl agencies,,Cabinet Office excl agencies,,Cabinet Office excl agencies,Cabinet Office excl agencies,Cabinet Office excl agencies,Cabinet Office excl agencies,Cabinet Office excl agencies,Cabinet Office excl agencies,Cabinet Office excl agencies,Cabinet Office excl agencies,Core Whitehall Depts.,1270,1300,1270,1270,1230,1600,1500,1460,1520,1630,1630,1640,1710,1800
27,Cabinet Office ,CO,Central Office of Information,,Central Office of Information,,Central Office of Information,,Central Office of Information,,Central Office of Information,Central Office of Information,Central Office of Information,Central Office of Information,Central Office of Information,Central Office of Information,Central Office of Information,Central Office of Information,Non-Whitehall Civil Service,910,920,950,970,940,920,830,540,520,500,470,450,370,0
28,Charity Commission,CO,Charity Commission,,Charity Commission,,Charity Commission,,Charity Commission,,Charity Commission,Charity Commission,Charity Commission ,Charity Commission,Charity Commission,Charity Commission,Charity Commission,Charity Commission,Non-Whitehall Civil Service,450,460,460,450,450,440,430,420,400,370,360,340,340,310
29,Cabinet Office ,CO,National School of Government,,National School of Government,,National School of Government,,National School of Government,,National School of Government,National School of Government,National School of Government,National School of Government,National School of Government,National School of Government,#N/A,National School of Government,Non-Whitehall Civil Service,250,250,240,230,230,220,220,210,200,0,,,,
30,Cabinet Office ,CO,Office of the Parliamentary Counsel,,Office of the Parliamentary Counsel,,Office of the Parliamentary Counsel,,Office of the Parliamentary Counsel,,Office of the Parliamentary Counsel,Office of the Parliamentary Counsel,Office of the Parliamentary Counsel ,Office of the Parliamentary Counsel,Office of the Parliamentary Counsel,Office of the Parliamentary Counsel,Office of the Parliamentary Counsel,Office of the Parliamentary Counsel,Non-Whitehall Civil Service,80,80,70,70,70,70,110,100,100,100,110,110,100,100
31,Cabinet Office ,CO,,,,,,,,,,,Government Procurement Service,Government Procurement Service,Government Procurement Service,Government Procurement Service,Government Procurement Service,Government Procurement Service,Non-Whitehall Civil Service,,,,,,,,,,360,290,300,290,310
32,Communities and Local Government,DCLG,Department for Communities and Local Government,,Department for Communities and Local Government,,Department for Communities and Local Government,,Department for Communities and Local Government,,Department for Communities and Local Government,Department for Communities and Local Government,Department for Communities and Local Government,Department for Communities and Local Government,Department for Communities and Local Government ,Department for Communities and Local Government,Department for Communities and Local Government,Department for Communities and Local Government,Core Whitehall Depts.,2810,2800,2660,2630,2650,2580,2520,2470,2250,2020,2110,1860,1820,1700
33,Communities and Local Government,DCLG,Fire Service College,,Fire Service College,,Fire Service College,,Fire Service College,,Fire Service College,Fire Service College,Fire Service College,Fire Service College,Fire Service College,Fire Service College,Fire Service College,Fire Service College,Non-Whitehall Civil Service,220,230,210,200,210,210,200,190,180,190,190,190,180,160
34,Communities and Local Government,DCLG,Ordnance Survey,,Ordnance Survey,,Ordnance Survey,,Ordnance Survey,,Ordnance Survey,Ordnance Survey,Ordnance Survey ,Ordnance Survey [DCLG],Ordnance Survey [DCLG],Ordnance Survey [DCLG],#N/A,Ordnance Survey [DCLG],Non-Whitehall Civil Service,1380,1360,1350,1240,1160,1150,1150,1120,1100,1070,,,,
35,Communities and Local Government,DCLG,Planning Inspectorate,,Planning Inspectorate,,Planning Inspectorate,,Planning Inspectorate,,Planning Inspectorate,Planning Inspectorate,Planning Inspectorate,Planning Inspectorate,Planning Inspectorate,Planning Inspectorate,Planning Inspectorate,Planning Inspectorate,Non-Whitehall Civil Service,740,730,730,730,720,710,690,690,630,610,610,610,600,640
36,Communities and Local Government,DCLG,Queen Elizabeth II Conference Centre,,Queen Elizabeth II Conference Centre,,Queen Elizabeth II Conference Centre,,Queen Elizabeth II Conference Centre,,Queen Elizabeth II Conference Centre,Queen Elizabeth II Conference Centre,Queen Elizabeth II Conference Centre,Queen Elizabeth II Conference Centre,Queen Elizabeth II Conference Centre,Queen Elizabeth II Conference Centre,Queen Elizabeth II Conference Centre,Queen Elizabeth II Conference Centre,Non-Whitehall Civil Service,50,50,50,50,50,50,50,50,40,40,40,40,40,40
37,"Culture, Media and Sport",DCMS,Department for Culture Media and Sport,,Department for Culture Media and Sport,,Department for Culture Media and Sport,,Department for Culture Media and Sport,,Department for Culture Media and Sport,Department for Culture Media and Sport,Department for Culture Media and Sport,Department for Culture Media and Sport,Department for Culture Media and Sport,Department for Culture Media and Sport,Department for Culture Media and Sport,Department for Culture Media and Sport,Core Whitehall Depts.,460,460,460,460,470,480,460,460,450,490,460,460,450,450
38,"Culture, Media and Sport",DCMS,Royal Parks,,Royal Parks,,Royal Parks,,Royal Parks,,Royal Parks,Royal Parks,Royal Parks,Royal Parks,Royal Parks,Royal Parks,Royal Parks,Royal Parks,Non-Whitehall Civil Service,110,110,110,120,120,120,110,120,120,120,110,110,120,130
39,Department for Energy and Climate Change ,DECC,,Department for Energy and Climate Change ,Department for Energy and Climate Change,,Department for Energy and Climate Change,Department for Energy and Climate Change,Department for Energy and Climate Change,,Department for Energy and Climate Change,Department for Energy and Climate Change,Department for Energy and Climate Change ,Department for Energy and Climate Change,Department for Energy and Climate Change,Department for Energy and Climate Change,Department for Energy and Climate Change,Department for Energy and Climate Change,Core Whitehall Depts.,,,970,990,1020,1060,1120,1130,1150,1170,1190,1230,1290,1320
40,"Environment, Food and Rural Affairs",DEFRA,,,,,,,,,,,Animal Health and Veterinary Laboratories Agency,Animal Health and Veterinary Laboratories Agency,Animal Health and Veterinary Laboratories Agency,Animal Health and Veterinary Laboratories Agency,Animal Health and Veterinary Laboratories Agency,Animal Health and Veterinary Laboratories Agency,Non-Whitehall Civil Service,,,,,,,,,,2630,2460,2380,2350,2270
41,"Environment, Food and Rural Affairs",DEFRA,Animal Health,,Animal Health,,Animal Health,,Animal Health,,Animal Health,Animal Health,Animal Health,Animal Health,Animal Health,Animal Health,#N/A,Animal Health,Non-Whitehall Civil Service,1600,1590,1620,1630,1600,1590,1540,1490,1500,,,,,
42,"Environment, Food and Rural Affairs",DEFRA,Centre for Environment Fisheries and Aquaculture Science,,Centre for Environment Fisheries and Aquaculture Science,,Centre for Environment Fisheries and Aquaculture Science,,Centre for Environment Fisheries and Aquaculture Science,,Centre for Environment Fisheries and Aquaculture Science,Centre for Environment Fisheries and Aquaculture Science,Centre for Environment Fisheries and Aquaculture Science,Centre for Environment Fisheries and Aquaculture Science,Centre for Environment Fisheries and Aquaculture Science,Centre for Environment Fisheries and Aquaculture Science,Centre for Environment Fisheries and Aquaculture Science,Centre for Environment Fisheries and Aquaculture Science,Non-Whitehall Civil Service,520,520,530,530,530,530,530,520,510,500,510,530,520,520
43,"Environment, Food and Rural Affairs",DEFRA,Department for Environment Food and Rural Affairs,,Department for Environment Food and Rural Affairs,,Department for Environment Food and Rural Affairs,,Department for Environment Food and Rural Affairs,,Department for Environment Food and Rural Affairs,Department for Environment Food and Rural Affairs,Department for Environment Food and Rural Affairs,Department for Environment Food and Rural Affairs,Department for Environment Food and Rural Affairs ,Department for Environment Food and Rural Affairs,Department for Environment Food and Rural Affairs,Department for Environment Food and Rural Affairs,Core Whitehall Depts.,3000,2860,2540,2570,2640,2640,2590,2570,2530,2340,2100,2080,2090,2060
44,"Environment, Food and Rural Affairs",DEFRA,Food and Environment Research Agency,,Food & Environment Research Agency,Food & Environment Research Agency ,Food & Environment Research Agency,,Food & Environment Research Agency,Food & Environment Research Agency,Food & Environment Research Agency,Food & Environment Research Agency,Food & Environment Research Agency,Food & Environment Research Agency,Food & Environment Research Agency,Food & Environment Research Agency,Food & Environment Research Agency,Food & Environment Research Agency,Non-Whitehall Civil Service,650,850,840,810,850,850,840,830,850,880,840,820,860,860
45,"Environment, Food and Rural Affairs",DEFRA,Government Decontamination Services,,Government Decontamination Services,,Government Decontamination Services,,Government Decontamination Services,,Government Decontamination Services,Government Decontamination Services,Government Decontamination Services,Government Decontamination Services,Government Decontamination Services,Government Decontamination Services,#N/A,Government Decontamination Services,Non-Whitehall Civil Service,30,0,,,,,,,,,,,,
46,"Environment, Food and Rural Affairs",DEFRA,Marine Fisheries Agency,,Marine Fisheries Agency,,Marine Fisheries Agency,,Marine Fisheries Agency,,Marine Fisheries Agency,Marine Fisheries Agency,Marine Fisheries Agency,Marine Fisheries Agency,Marine Fisheries Agency,Marine Fisheries Agency,#N/A,Marine Fisheries Agency,Non-Whitehall Civil Service,190,200,190,240,230,,,,,,,,,
47,"Environment, Food and Rural Affairs",DEFRA,OFWAT,,OFWAT,,OFWAT,,OFWAT,,OFWAT,OFWAT,OFWAT,OFWAT,OFWAT,OFWAT,OFWAT,OFWAT,Non-Whitehall Civil Service,210,220,220,220,230,220,220,220,220,220,210,190,170,170
48,"Environment, Food and Rural Affairs",DEFRA,Rural Payments Agency,,Rural Payments Agency,,Rural Payments Agency,,Rural Payments Agency,,Rural Payments Agency,Rural Payments Agency,Rural Payments Agency,Rural Payments Agency,Rural Payments Agency,Rural Payments Agency,Rural Payments Agency,Rural Payments Agency,Non-Whitehall Civil Service,3270,3170,3130,3040,2940,2760,2630,2550,2520,2490,2390,2370,2350,2320
49,"Environment, Food and Rural Affairs",DEFRA,Veterinary Laboratories Agency,,Veterinary Laboratories Agency,,Veterinary Laboratories Agency,,Veterinary Laboratories Agency,,Veterinary Laboratories Agency,Veterinary Laboratories Agency,Veterinary Laboratories Agency,Veterinary Laboratories Agency,Veterinary Laboratories Agency,Veterinary Laboratories Agency,#N/A,Veterinary Laboratories Agency,Non-Whitehall Civil Service,1210,1210,1220,1220,1200,1190,1160,1150,1130,0,,,,
50,"Environment, Food and Rural Affairs",DEFRA,Veterinary Medicines Directorate,,Veterinary Medicines Directorate,,Veterinary Medicines Directorate,,Veterinary Medicines Directorate,,Veterinary Medicines Directorate,Veterinary Medicines Directorate,Veterinary Medicines Directorate ,Veterinary Medicines Directorate,Veterinary Medicines Directorate,Veterinary Medicines Directorate,Veterinary Medicines Directorate,Veterinary Medicines Directorate,Non-Whitehall Civil Service,140,150,150,150,150,150,150,150,150,150,150,150,150,150
51,"Children, Schools and Families / Department for Education",DfE,"Department for Children, Schools and Families",,"Department for Children, Schools and Families",,Department for Communities and Local Government,,Department for Education,,Department for Education,Department for Education,Department for Education,Department for Education,Department for Education ,Department for Education,Department for Education,Department for Education,Core Whitehall Depts.,3190,3220,3240,3180,2650,2890,2800,2740,2660,2490,2490,2580,2590,2630
52,Office of Qualifications and Examinations Regulation,DfE,,,,Office of Qualifications and Examinations Regulation,Office of Qualifications and Examinations Regulation,,Office of Qualifications and Examinations Regulation,,Office of Qualifications and Examinations Regulation,Office of Qualifications and Examinations Regulation,Office of Qualifications and Examinations Regulation,Office of Qualifications and Examinations Regulation,Office of Qualifications and Examinations Regulation,Office of Qualifications and Examinations Regulation,Office of Qualifications and Examinations Regulation,Office of Qualifications and Examinations Regulation,Non-Whitehall Civil Service,,,,,0,180,170,170,170,180,170,180,180,180
53,Ofsted,DfE,Ofsted,,Ofsted,,Ofsted,,Ofsted,,Ofsted,Ofsted,Ofsted,Ofsted,Ofsted,Ofsted,Ofsted,Ofsted,Non-Whitehall Civil Service,2250,2220,2150,2070,2060,1990,1500,1460,1450,1430,1420,1400,1400,1360
,Department for Eductation,DfE,,,,,,,,,,,,,Standards and Testing Agency ,Standards and Testing Agency,Standards and Testing Agency,Standards and Testing Agency,Non-Whitehall Civil Service,,,,,,,,,,,,90,90,90
,Department for Eductation,DfE,,,,,,,,,,,,,Education Funding Agency,#N/A,Education Funding Agency,#N/A,Non-Whitehall Civil Service,,,,,,,,,,,,,,
,Department for Eductation,DfE,,,,,,,,,,,,,National College,#N/A,National College,#N/A,Non-Whitehall Civil Service,,,,,,,,,,,,,,
,Department for Eductation,DfE,,,,,,,,,,,,,Teaching Agency,#N/A,Teaching Agency,#N/A,Non-Whitehall Civil Service,,,,,,,,,,,,,,
54,International Development ,DfID,Department for International Development,,Department for International Development,,Department for International Development,,Department for International Development,,Department for International Development,Department for International Development,Department for International Development,Department for International Development,Department for International Development,Department for International Development,Department for International Development,Department for International Development,Core Whitehall Depts.,1600,1630,1630,1570,1570,1580,1600,1580,1570,1560,1560,1620,1650,1690
55,Transport,DfT,Department for Transport,,Department for Transport,,Department for Transport,,Department for Transport,,Department for Transport,Department for Transport,Department for Transport,Department for Transport,Department for Transport ,Department for Transport,Department for Transport,Department for Transport,Core Whitehall Depts.,2050,2050,2060,2080,2080,2070,2070,2030,1860,1780,1710,1660,1630,1640
56,Transport,DfT,Driver and Vehicle Licensing Agency,,Driver and Vehicle Licensing Agency,,Driver and Vehicle Licensing Agency,,Driver and Vehicle Licensing Agency,,Driver and Vehicle Licensing Agency,Driver and Vehicle Licensing Agency,Driver and Vehicle Licensing Agency,Driver and Vehicle Licensing Agency,Driver and Vehicle Licensing Agency,Driver and Vehicle Licensing Agency,Driver and Vehicle Licensing Agency,Driver and Vehicle Licensing Agency,Non-Whitehall Civil Service,5980,6070,6010,5980,5910,6020,5950,5870,5810,5770,5760,5760,5710,5700
57,Transport,DfT,Driving Standards Agency,,Driving Standards Agency,,Driving Standards Agency,,Driving Standards Agency,,Driving Standards Agency,Driving Standards Agency,Driving Standards Agency,Driving Standards Agency,Driving Standards Agency,Driving Standards Agency,Driving Standards Agency,Driving Standards Agency,Non-Whitehall Civil Service,2570,2540,2540,2530,2510,2490,2450,2440,2430,2390,2390,2390,2400,2370
58,Transport,DfT,Government Car and Despatch Agency,,Government Car and Despatch Agency,,Government Car and Despatch Agency,,Government Car and Despatch Agency,,Government Car and Despatch Agency,Government Car and Despatch Agency,Government Car and Despatch Agency,Government Car and Despatch Agency,Government Car and Despatch Agency,Government Car and Despatch Agency,Government Car and Despatch Agency,Government Car and Despatch Agency,Non-Whitehall Civil Service,310,320,320,320,310,280,270,270,280,210,190,170,170,160
59,Transport,DfT,Highways Agency,,Highways Agency,,Highways Agency,,Highways Agency,,Highways Agency,Highways Agency,Highways Agency,Highways Agency,Highways Agency,Highways Agency,Highways Agency,Highways Agency,Non-Whitehall Civil Service,3460,3450,3660,3690,3750,3750,3720,3660,3550,3510,3460,3420,3390,3340
60,Transport,DfT,Maritime and Coastguard Agency,,Maritime and Coastguard Agency,,Maritime and Coastguard Agency,,Maritime and Coastguard Agency,,Maritime and Coastguard Agency,Maritime and Coastguard Agency,Maritime and Coastguard Agency,Maritime and Coastguard Agency,Maritime and Coastguard Agency,Maritime and Coastguard Agency,Maritime and Coastguard Agency,Maritime and Coastguard Agency,Non-Whitehall Civil Service,1150,1160,1150,1180,1180,1180,1160,1130,1100,1090,1080,1070,1070,1060
61,Transport,DfT,Office of Rail Regulation,,Office of Rail Regulation,,Office of Rail Regulation,,Office of Rail Regulation,,Office of Rail Regulation,Office of Rail Regulation,Office of Rail Regulation,Office of Rail Regulation,Office of Rail Regulation,Office of Rail Regulation,Office of Rail Regulation,Office of Rail Regulation,Non-Whitehall Civil Service,320,300,300,300,300,290,290,280,270,280,270,270,270,270
62,Transport,DfT,Vehicle and Operator Services Agency,,Vehicle and Operator Services Agency,,Vehicle and Operator Services Agency,,Vehicle and Operator Services Agency,,Vehicle and Operator Services Agency,Vehicle and Operator Services Agency,Vehicle and Operator Services Agency,Vehicle and Operator Services Agency,Vehicle and Operator Services Agency,Vehicle and Operator Services Agency,Vehicle and Operator Services Agency,Vehicle and Operator Services Agency,Non-Whitehall Civil Service,2640,2630,2610,2590,2450,2390,2350,2330,2230,2210,2160,2150,2130,2150
63,Transport,DfT,Vehicle Certification Agency,,Vehicle Certification Agency,,Vehicle Certification Agency,,Vehicle Certification Agency,,Vehicle Certification Agency,Vehicle Certification Agency,Vehicle Certification Agency,Vehicle Certification Agency,Vehicle Certification Agency,Vehicle Certification Agency,Vehicle Certification Agency,Vehicle Certification Agency,Non-Whitehall Civil Service,140,150,140,140,140,140,140,140,140,140,150,140,150,150
64,Health,DH,Department of Health (excl agencies),,Department of Health (excl agencies),,Department of Health (excl agencies),,Department of Health (excl agencies),,Department of Health (excl agencies),Department of Health (excl agencies),Department of Health (excl agencies),Department of Health (excl agencies),Department of Health (excl agencies),Department of Health (excl agencies),Department of Health (excl agencies),Department of Health (excl agencies),Core Whitehall Depts.,2260,2240,2330,2360,2630,2600,2540,2570,2560,2390,2370,2330,2290,2270
65,Health,DH,Food Standards Agency,,Food Standards Agency,,Food Standards Agency,,Food Standards Agency,,Food Standards Agency,Food Standards Agency,Food Standards Agency,Food Standards Agency,Food Standards Agency,Food Standards Agency,Food Standards Agency,Food Standards Agency,Non-Whitehall Civil Service,750,730,720,710,700,1540,1420,1360,1340,1350,1340,1350,1300,1310
66,Health,DH,Meat Hygiene Service,,Meat Hygiene Service,,Meat Hygiene Service,,Meat Hygiene Service,,Meat Hygiene Service,Meat Hygiene Service,Meat Hygiene Service,Meat Hygiene Service,Meat Hygiene Service,Meat Hygiene Service,#N/A,Meat Hygiene Service,Non-Whitehall Civil Service,1000,980,960,920,870,,,,,,,,,
