Projects2012,Projects2013
,NOMS Organisational Restructure Programme
,NOMS ICTS Services (NIS) Programme (formally part of Quantum Re-compete Project)
,Prison Competitions Phase 2
,National Offender Management Information Systems (NOMIS) Programme
,CJS Efficiency Programme Phase 2
,HMCTS Reform
,Legal Aid Transformation
,ISOT Programme
,Yoda Project (Outsourced Services Retender Project)
,ESA10/BPM6 Programme (European Systems of Accounting 2010)
,2011 Census
,Electronic Data Collection (EDC)
,Web Data Access (WDA) Project
,Beyond 2011 Programme
