Department,Quarter,Paybill,Headcount,Paybill without outliers,Headcount without outliers
HM Revenue & Customs,2012 Q4,-0.02069,-0.03875,-0.02069,-0.03875
HM Revenue & Customs,2013 Q1,-0.01439,-0.03981,-0.01439,-0.03981
HM Treasury,2012 Q1,0.05835,0.03902,0.05835,0.03902
HM Treasury,2012 Q2,-0.00925,0.01094,-0.00925,0.01094
HM Treasury,2012 Q3,0.05802,0.00916,0.05802,0.00916
HM Treasury,2012 Q4,-0.00321,0.01035,-0.00321,0.01035
Ministry of Defence,2012 Q1,-0.02332,-0.03907,-0.02332,-0.03907
Ministry of Defence,2012 Q3,-0.04711,-0.05090,-0.04711,-0.05090
Ministry of Defence,2012 Q4,-0.11504,-0.11880,-0.11504,-0.11880
Ministry of Defence,2013 Q1,-0.11350,-0.13693,-0.11350,-0.13693
Ministry of Justice,2012 Q1,0.24163,-0.01829,0.24163,-0.01829
Ministry of Justice,2012 Q2,0.19557,0.01932,0.19557,0.01932
Ministry of Justice,2012 Q3,0.13472,0.01472,0.13472,0.01472
Ministry of Justice,2012 Q4,0.19000,0.03354,0.19000,0.03354
Ministry of Justice,2013 Q1,0.15728,0.03388,0.15728,0.03388
Foreign and Commonwealth office,2013 Q1,,,0.00000,
