DeptX,Dept,Organisation,Whitehall?,TWD dept groups,Organisation type,2010 Q3 FTE,2010 Q4 FTE,2011 Q1 FTE,2011 Q2 FTE,2011 Q3 FTE,2011 Q4 FTE,2012 Q1 FTE,2012 Q2 FTE,2010 Q3 change,2010 Q4 change,2011 Q1 change,2011 Q2 change,2011 Q3 change,2011 Q4 change,2012 Q1 change,2012 Q2 change,2010 Q3 % change,2010 Q4 % change,2011 Q1 % change,2011 Q2 % change,2011 Q3 % change,2011 Q4 % change,2012 Q1 % change,2012 Q2 % change,2010 Q3 change from baseline,2010 Q4 change from baseline,2011 Q1 change from baseline,2011 Q2 change from baseline,2011 Q3 change from baseline,2011 Q4 change from baseline,2012 Q1 change from baseline,2012 Q2 change from baseline,2010 Q3 % change from baseline,2010 Q4 % change from baseline,2011 Q1 % change from baseline,2011 Q2 % change from baseline,2011 Q3 % change from baseline,2011 Q4 % change from baseline,2012 Q1 % change from baseline,2012 Q2 % change from baseline
,BIS,Companies House,Non-Whitehall Civil Service,Policy,Executive Agency,1060,1050,1030,1030,970,920,900,890,0,-10,-20,0,-60,-50,-20,-10,0.0%,-0.9%,-1.9%,0.0%,-5.8%,-5.2%,-2.2%,-1.1%,0,-10,-30,-30,-90,-140,-160,-170,0.0%,-0.9%,-2.8%,-2.8%,-8.5%,-13.2%,-15.1%,-16.0%
,BIS,"Department for Innovation, Universities and Skills",Core Whitehall Depts.,Policy,Ministerial Department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
,BIS,Export Credit Guarantee Department,Non-Whitehall Civil Service,Policy,Ministerial Department (exclude),200,200,200,190,190,190,180,190,0,0,0,-10,0,0,-10,10,0.0%,0.0%,0.0%,-5.0%,0.0%,0.0%,-5.3%,5.6%,0,0,0,-10,-10,-10,-20,-10,0.0%,0.0%,0.0%,-5.0%,-5.0%,-5.0%,-10.0%,-5.0%
,BIS,HM Land Registry,Non-Whitehall Civil Service,Policy,Non-Ministerial Department,0,0,0,0,0,-230,-290,-330,0,0,0,0,0,-230,-60,-40,,,,,,,26.1%,13.8%,0,0,0,0,0,-230,-290,-330,,,,,,,,
,BIS,Insolvency Service,Non-Whitehall Civil Service,Policy,Executive Agency,2510,2470,2450,2020,2020,2000,2000,1980,0,-40,-20,-430,0,-20,0,-20,0.0%,-1.6%,-0.8%,-17.6%,0.0%,-1.0%,0.0%,-1.0%,0,-40,-60,-490,-490,-510,-510,-530,0.0%,-1.6%,-2.4%,-19.5%,-19.5%,-20.3%,-20.3%,-21.1%
,BIS,Met Office,Non-Whitehall Civil Service,Policy,Executive Agency,0,0,0,0,0,40,60,120,0,0,0,0,0,40,20,60,,,,,,,50.0%,100.0%,0,0,0,0,0,40,60,120,,,,,,,,
,BIS,National Measurement Office,Non-Whitehall Civil Service,Policy,Executive Agency,70,70,70,70,70,70,60,70,0,0,0,0,0,0,-10,10,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-14.3%,16.7%,0,0,0,0,0,0,-10,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-14.3%,0.0%
,BIS,Office of Fair Trading,Non-Whitehall Civil Service,Policy,Non-Ministerial Department,620,620,570,550,550,550,550,530,0,0,-50,-20,0,0,0,-20,0.0%,0.0%,-8.1%,-3.5%,0.0%,0.0%,0.0%,-3.6%,0,0,-50,-70,-70,-70,-70,-90,0.0%,0.0%,-8.1%,-11.3%,-11.3%,-11.3%,-11.3%,-14.5%
,BIS,Office of Gas and Electricity Market,Non-Whitehall Civil Service,Policy,Non-Ministerial Department,410,430,440,460,520,530,550,570,0,20,10,20,60,10,20,20,0.0%,4.9%,2.3%,4.5%,13.0%,1.9%,3.8%,3.6%,0,20,30,50,110,120,140,160,0.0%,4.9%,7.3%,12.2%,26.8%,29.3%,34.1%,39.0%
,BIS,Ordnance Survey,Non-Whitehall Civil Service,Policy,Non-Ministerial Department,0,0,0,0,0,0,-20,-20,0,0,0,0,0,0,-20,0,,,,,,,,0.0%,0,0,0,0,0,0,-20,-20,,,,,,,,
,BIS,Postal Services Commission ,Non-Whitehall Civil Service,Policy,Non-Ministerial Department,50,50,50,50,50,0,0,0,0,0,0,0,0,-50,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,-100.0%,,,0,0,0,0,0,-50,-50,-50,0.0%,0.0%,0.0%,0.0%,0.0%,-100.0%,-100.0%,-100.0%
,BIS,Skills Funding Agency,Non-Whitehall Civil Service,Policy,Executive Agency,1820,1600,1610,1560,1500,1500,1230,1210,0,-220,10,-50,-60,0,-270,-20,0.0%,-12.1%,0.6%,-3.1%,-3.8%,0.0%,-18.0%,-1.6%,0,-220,-210,-260,-320,-320,-590,-610,0.0%,-12.1%,-11.5%,-14.3%,-17.6%,-17.6%,-32.4%,-33.5%
,BIS,UK Intellectual Property Office,Non-Whitehall Civil Service,Policy,Executive Agency,840,850,850,860,860,850,860,890,0,10,0,10,0,-10,10,30,0.0%,1.2%,0.0%,1.2%,0.0%,-1.2%,1.2%,3.5%,0,10,10,20,20,10,20,50,0.0%,1.2%,1.2%,2.4%,2.4%,1.2%,2.4%,6.0%
,BIS,UK Space Agency,Non-Whitehall Civil Service,Policy,Executive Agency,0,0,0,30,30,40,40,40,0,0,0,30,0,10,0,0,,,,,0.0%,33.3%,0.0%,0.0%,0,0,0,30,30,40,40,40,,,,,,,,
CO,CO,Buying Solutions,Non-Whitehall Civil Service,Centre,Executive Agency,360,360,360,0,0,0,0,0,0,0,0,-360,0,0,0,0,0.0%,0.0%,0.0%,-100.0%,,,,,0,0,0,-360,-360,-360,-360,-360,0.0%,0.0%,0.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%
,CO,Cabinet Office excl agencies,Core Whitehall Depts.,Centre,Ministerial Department,1500,1460,1520,1430,1430,1440,1510,1502,0,-40,60,-90,0,10,70,-8,0.0%,-2.7%,4.1%,-5.9%,0.0%,0.7%,4.9%,-0.5%,0,-40,20,-70,-70,-60,10,2,0.0%,-2.7%,1.3%,-4.7%,-4.7%,-4.0%,0.7%,0.1%
,CO,Central Office of Information,Non-Whitehall Civil Service,Centre,Non-Ministerial Department,830,540,520,500,470,450,370,68,0,-290,-20,-20,-30,-20,-80,-302,0.0%,-34.9%,-3.7%,-3.8%,-6.0%,-4.3%,-17.8%,-81.6%,0,-290,-310,-330,-360,-380,-460,-762,0.0%,-34.9%,-37.3%,-39.8%,-43.4%,-45.8%,-55.4%,-91.8%
,CO,Charity Commission,Non-Whitehall Civil Service,Centre,Non-Ministerial Department,430,420,400,370,360,340,340,310,0,-10,-20,-30,-10,-20,0,-30,0.0%,-2.3%,-4.8%,-7.5%,-2.7%,-5.6%,0.0%,-8.8%,0,-10,-30,-60,-70,-90,-90,-120,0.0%,-2.3%,-7.0%,-14.0%,-16.3%,-20.9%,-20.9%,-27.9%
,CO,Government Procurement Service,Non-Whitehall Civil Service,Centre,Executive Agency,0,0,0,360,290,300,290,310,0,0,0,360,-70,10,-10,20,,,,,-19.4%,3.4%,-3.3%,6.9%,0,0,0,360,290,300,290,310,,,,,,,,
,CO,National School of Government,Non-Whitehall Civil Service,Centre,OTHER,220,210,200,200,200,200,200,200,0,-10,-10,0,0,0,0,0,0.0%,-4.5%,-4.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0,-10,-20,-20,-20,-20,-20,-20,0.0%,-4.5%,-9.1%,-9.1%,-9.1%,-9.1%,-9.1%,-9.1%
,CO,Office of the Parliamentary Counsel,Non-Whitehall Civil Service,Centre,Executive Agency,110,100,100,100,110,110,100,100,0,-10,0,0,10,0,-10,0,0.0%,-9.1%,0.0%,0.0%,10.0%,0.0%,-9.1%,0.0%,0,-10,-10,-10,0,0,-10,-10,0.0%,-9.1%,-9.1%,-9.1%,0.0%,0.0%,-9.1%,-9.1%
DCLG,DCLG,Department for Communities and Local Government,Core Whitehall Depts.,Policy,Ministerial Department,2520,2470,2250,2020,2110,1860,1820,1700,0,-50,-220,-230,90,-250,-40,-120,0.0%,-2.0%,-8.9%,-10.2%,4.5%,-11.8%,-2.2%,-6.6%,0,-50,-270,-500,-410,-660,-700,-820,0.0%,-2.0%,-10.7%,-19.8%,-16.3%,-26.2%,-27.8%,-32.5%
,DCLG,Fire Service College,Non-Whitehall Civil Service,Policy,Executive Agency,200,190,180,190,190,190,180,160,0,-10,-10,10,0,0,-10,-20,0.0%,-5.0%,-5.3%,5.6%,0.0%,0.0%,-5.3%,-11.1%,0,-10,-20,-10,-10,-10,-20,-40,0.0%,-5.0%,-10.0%,-5.0%,-5.0%,-5.0%,-10.0%,-20.0%
,DCLG,Ordnance Survey [DCLG],Non-Whitehall Civil Service,Policy,Non-Ministerial Department,1150,1120,1100,1070,1060,1060,1060,1060,0,-30,-20,-30,-10,0,0,0,0.0%,-2.6%,-1.8%,-2.7%,-0.9%,0.0%,0.0%,0.0%,0,-30,-50,-80,-90,-90,-90,-90,0.0%,-2.6%,-4.3%,-7.0%,-7.8%,-7.8%,-7.8%,-7.8%
,DCLG,Planning Inspectorate,Non-Whitehall Civil Service,Policy,Executive Agency,690,690,630,610,610,610,600,640,0,0,-60,-20,0,0,-10,40,0.0%,0.0%,-8.7%,-3.2%,0.0%,0.0%,-1.6%,6.7%,0,0,-60,-80,-80,-80,-90,-50,0.0%,0.0%,-8.7%,-11.6%,-11.6%,-11.6%,-13.0%,-7.2%
,DCLG,Queen Elizabeth II Conference Centre,Non-Whitehall Civil Service,Policy,Executive Agency,50,50,40,40,40,40,40,40,0,0,-10,0,0,0,0,0,0.0%,0.0%,-20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,-10,-10,-10,-10,-10,-10,0.0%,0.0%,-20.0%,-20.0%,-20.0%,-20.0%,-20.0%,-20.0%
DCMS,DCMS,Department for Culture Media and Sport,Core Whitehall Depts.,Policy,Ministerial Department,460,460,450,490,460,460,450,450,0,0,-10,40,-30,0,-10,0,0.0%,0.0%,-2.2%,8.9%,-6.1%,0.0%,-2.2%,0.0%,0,0,-10,30,0,0,-10,-10,0.0%,0.0%,-2.2%,6.5%,0.0%,0.0%,-2.2%,-2.2%
,DCMS,Royal Parks,Non-Whitehall Civil Service,Policy,Executive Agency,110,120,120,120,110,110,120,130,0,10,0,0,-10,0,10,10,0.0%,9.1%,0.0%,0.0%,-8.3%,0.0%,9.1%,8.3%,0,10,10,10,0,0,10,20,0.0%,9.1%,9.1%,9.1%,0.0%,0.0%,9.1%,18.2%
DECC,DECC,Department for Energy and Climate Change,Core Whitehall Depts.,Policy,Ministerial Department,1120,1130,1150,1170,1190,1230,1290,1320,0,10,20,20,20,40,60,30,0.0%,0.9%,1.8%,1.7%,1.7%,3.4%,4.9%,2.3%,0,10,30,50,70,110,170,200,0.0%,0.9%,2.7%,4.5%,6.3%,9.8%,15.2%,17.9%
DEFRA,DEFRA,Animal Health,Non-Whitehall Civil Service,Policy,Executive Agency,1540,1490,1500,0,0,0,0,0,0,-50,10,-1500,0,0,0,0,0.0%,-3.2%,0.7%,-100.0%,,,,,0,-50,-40,-1540,-1540,-1540,-1540,-1540,0.0%,-3.2%,-2.6%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%
,DEFRA,Animal Health and Veterinary Laboratories Agency,Non-Whitehall Civil Service,Policy,Executive Agency,0,0,0,2630,2460,2380,2350,2270,0,0,0,2630,-170,-80,-30,-80,,,,,-6.5%,-3.3%,-1.3%,-3.4%,0,0,0,2630,2460,2380,2350,2270,,,,,,,,
,DEFRA,Centre for Environment Fisheries and Aquaculture Science,Non-Whitehall Civil Service,Policy,Executive Agency,530,520,510,500,510,530,520,520,0,-10,-10,-10,10,20,-10,0,0.0%,-1.9%,-1.9%,-2.0%,2.0%,3.9%,-1.9%,0.0%,0,-10,-20,-30,-20,0,-10,-10,0.0%,-1.9%,-3.8%,-5.7%,-3.8%,0.0%,-1.9%,-1.9%
,DEFRA,Department for Environment Food and Rural Affairs,Core Whitehall Depts.,Policy,Ministerial Department,2590,2570,2530,2340,2100,2080,2090,2060,0,-20,-40,-190,-240,-20,10,-30,0.0%,-0.8%,-1.6%,-7.5%,-10.3%,-1.0%,0.5%,-1.4%,0,-20,-60,-250,-490,-510,-500,-530,0.0%,-0.8%,-2.3%,-9.7%,-18.9%,-19.7%,-19.3%,-20.5%
,DEFRA,Food & Environment Research Agency,Non-Whitehall Civil Service,Policy,Executive Agency,840,830,850,880,840,820,860,860,0,-10,20,30,-40,-20,40,0,0.0%,-1.2%,2.4%,3.5%,-4.5%,-2.4%,4.9%,0.0%,0,-10,10,40,0,-20,20,20,0.0%,-1.2%,1.2%,4.8%,0.0%,-2.4%,2.4%,2.4%
,DEFRA,Government Decontamination Services,Non-Whitehall Civil Service,Policy,???,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
,DEFRA,Marine Fisheries Agency,Non-Whitehall Civil Service,Policy,Executive Agency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
,DEFRA,OFWAT,Non-Whitehall Civil Service,Policy,Non-Ministerial Department,220,220,220,220,210,190,170,170,0,0,0,0,-10,-20,-20,0,0.0%,0.0%,0.0%,0.0%,-4.5%,-9.5%,-10.5%,0.0%,0,0,0,0,-10,-30,-50,-50,0.0%,0.0%,0.0%,0.0%,-4.5%,-13.6%,-22.7%,-22.7%
,DEFRA,Rural Payments Agency,Non-Whitehall Civil Service,Policy,Executive Agency,2630,2550,2520,2490,2390,2370,2350,2320,0,-80,-30,-30,-100,-20,-20,-30,0.0%,-3.0%,-1.2%,-1.2%,-4.0%,-0.8%,-0.8%,-1.3%,0,-80,-110,-140,-240,-260,-280,-310,0.0%,-3.0%,-4.2%,-5.3%,-9.1%,-9.9%,-10.6%,-11.8%
,DEFRA,Veterinary Laboratories Agency,Non-Whitehall Civil Service,Policy,Executive Agency,1160,1150,1130,0,0,0,0,0,0,-10,-20,-1130,0,0,0,0,0.0%,-0.9%,-1.7%,-100.0%,,,,,0,-10,-30,-1160,-1160,-1160,-1160,-1160,0.0%,-0.9%,-2.6%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%
,DEFRA,Veterinary Medicines Directorate,Non-Whitehall Civil Service,Policy,Executive Agency,150,150,150,150,150,150,150,150,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
DfE,DfE,Department for Education,Core Whitehall Depts.,Policy,Ministerial Department,2800,2740,2660,2490,2490,2580,2590,2630,0,-60,-80,-170,0,90,10,40,0.0%,-2.1%,-2.9%,-6.4%,0.0%,3.6%,0.4%,1.5%,0,-60,-140,-310,-310,-220,-210,-170,0.0%,-2.1%,-5.0%,-11.1%,-11.1%,-7.9%,-7.5%,-6.1%
,DfE,Education Funding Agency,Non-Whitehall Civil Service,Policy,Executive Agency,0,0,0,0,0,0,0,640,0,0,0,0,0,0,0,640,,,,,,,,,0,0,0,0,0,0,0,640,,,,,,,,
,DfE,National College,Non-Whitehall Civil Service,Policy,Executive Agency,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,210,,,,,,,,,0,0,0,0,0,0,0,210,,,,,,,,
,DfE,Office of Qualifications and Examinations Regulation,Non-Whitehall Civil Service,Policy,Non-Ministerial Department,170,170,170,180,170,180,180,180,0,0,0,10,-10,10,0,0,0.0%,0.0%,0.0%,5.9%,-5.6%,5.9%,0.0%,0.0%,0,0,0,10,0,10,10,10,0.0%,0.0%,0.0%,5.9%,0.0%,5.9%,5.9%,5.9%
,DfE,Ofsted,Non-Whitehall Civil Service,Policy,Non-Ministerial Department,1500,1460,1450,1430,1420,1400,1400,1360,0,-40,-10,-20,-10,-20,0,-40,0.0%,-2.7%,-0.7%,-1.4%,-0.7%,-1.4%,0.0%,-2.9%,0,-40,-50,-70,-80,-100,-100,-140,0.0%,-2.7%,-3.3%,-4.7%,-5.3%,-6.7%,-6.7%,-9.3%
,DfE,Standards and Testing Agency,Non-Whitehall Civil Service,Policy,Executive Agency,0,0,0,0,0,90,90,90,0,0,0,0,0,90,0,0,,,,,,,0.0%,0.0%,0,0,0,0,0,90,90,90,,,,,,,,
,DfE,Teaching Agency,Non-Whitehall Civil Service,Policy,Executive Agency,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,270,,,,,,,,,0,0,0,0,0,0,0,270,,,,,,,,
DfID,DfID,Department for International Development,Core Whitehall Depts.,Foreign facing,Ministerial Department,1600,1580,1570,1560,1560,1620,1650,1690,0,-20,-10,-10,0,60,30,40,0.0%,-1.3%,-0.6%,-0.6%,0.0%,3.8%,1.9%,2.4%,0,-20,-30,-40,-40,20,50,90,0.0%,-1.3%,-1.9%,-2.5%,-2.5%,1.3%,3.1%,5.6%
DfT,DfT,Department for Transport,Core Whitehall Depts.,Policy,Ministerial Department,2070,2030,1860,1780,1710,1660,1630,1640,0,-40,-170,-80,-70,-50,-30,10,0.0%,-1.9%,-8.4%,-4.3%,-3.9%,-2.9%,-1.8%,0.6%,0,-40,-210,-290,-360,-410,-440,-430,0.0%,-1.9%,-10.1%,-14.0%,-17.4%,-19.8%,-21.3%,-20.8%
,DfT,Driver and Vehicle Licensing Agency,Non-Whitehall Civil Service,Policy,Executive Agency,5950,5870,5810,5770,5760,5760,5710,5700,0,-80,-60,-40,-10,0,-50,-10,0.0%,-1.3%,-1.0%,-0.7%,-0.2%,0.0%,-0.9%,-0.2%,0,-80,-140,-180,-190,-190,-240,-250,0.0%,-1.3%,-2.4%,-3.0%,-3.2%,-3.2%,-4.0%,-4.2%
,DfT,Driving Standards Agency,Non-Whitehall Civil Service,Policy,Executive Agency,2450,2440,2430,2390,2390,2390,2400,2370,0,-10,-10,-40,0,0,10,-30,0.0%,-0.4%,-0.4%,-1.6%,0.0%,0.0%,0.4%,-1.3%,0,-10,-20,-60,-60,-60,-50,-80,0.0%,-0.4%,-0.8%,-2.4%,-2.4%,-2.4%,-2.0%,-3.3%
,DfT,Government Car and Despatch Agency,Non-Whitehall Civil Service,Policy,Executive Agency,270,270,280,210,190,170,170,160,0,0,10,-70,-20,-20,0,-10,0.0%,0.0%,3.7%,-25.0%,-9.5%,-10.5%,0.0%,-5.9%,0,0,10,-60,-80,-100,-100,-110,0.0%,0.0%,3.7%,-22.2%,-29.6%,-37.0%,-37.0%,-40.7%
,DfT,Highways Agency,Non-Whitehall Civil Service,Policy,Executive Agency,3720,3660,3550,3510,3460,3420,3390,3340,0,-60,-110,-40,-50,-40,-30,-50,0.0%,-1.6%,-3.0%,-1.1%,-1.4%,-1.2%,-0.9%,-1.5%,0,-60,-170,-210,-260,-300,-330,-380,0.0%,-1.6%,-4.6%,-5.6%,-7.0%,-8.1%,-8.9%,-10.2%
,DfT,Maritime and Coastguard Agency,Non-Whitehall Civil Service,Policy,Executive Agency,1160,1130,1100,1090,1080,1070,1070,1060,0,-30,-30,-10,-10,-10,0,-10,0.0%,-2.6%,-2.7%,-0.9%,-0.9%,-0.9%,0.0%,-0.9%,0,-30,-60,-70,-80,-90,-90,-100,0.0%,-2.6%,-5.2%,-6.0%,-6.9%,-7.8%,-7.8%,-8.6%
,DfT,Office of Rail Regulation,Non-Whitehall Civil Service,Policy,Non-Ministerial Department,290,280,270,280,270,270,270,270,0,-10,-10,10,-10,0,0,0,0.0%,-3.4%,-3.6%,3.7%,-3.6%,0.0%,0.0%,0.0%,0,-10,-20,-10,-20,-20,-20,-20,0.0%,-3.4%,-6.9%,-3.4%,-6.9%,-6.9%,-6.9%,-6.9%
,DfT,Vehicle and Operator Services Agency,Non-Whitehall Civil Service,Policy,Executive Agency,2350,2330,2230,2210,2160,2150,2130,2150,0,-20,-100,-20,-50,-10,-20,20,0.0%,-0.9%,-4.3%,-0.9%,-2.3%,-0.5%,-0.9%,0.9%,0,-20,-120,-140,-190,-200,-220,-200,0.0%,-0.9%,-5.1%,-6.0%,-8.1%,-8.5%,-9.4%,-8.5%
,DfT,Vehicle Certification Agency,Non-Whitehall Civil Service,Policy,Executive Agency,140,140,140,140,150,140,150,150,0,0,0,0,10,-10,10,0,0.0%,0.0%,0.0%,0.0%,7.1%,-6.7%,7.1%,0.0%,0,0,0,0,10,0,10,10,0.0%,0.0%,0.0%,0.0%,7.1%,0.0%,7.1%,7.1%
DH,DH,Department of Health (excl agencies),Core Whitehall Depts.,Policy,Ministerial Department,2540,2570,2560,2390,2370,2330,2290,2270,0,30,-10,-170,-20,-40,-40,-20,0.0%,1.2%,-0.4%,-6.6%,-0.8%,-1.7%,-1.7%,-0.9%,0,30,20,-150,-170,-210,-250,-270,0.0%,1.2%,0.8%,-5.9%,-6.7%,-8.3%,-9.8%,-10.6%
,DH,Food Standards Agency,Non-Whitehall Civil Service,Policy,Non-Ministerial Department,1420,1360,1340,1350,1340,1350,1300,1310,0,-60,-20,10,-10,10,-50,10,0.0%,-4.2%,-1.5%,0.7%,-0.7%,0.7%,-3.7%,0.8%,0,-60,-80,-70,-80,-70,-120,-110,0.0%,-4.2%,-5.6%,-4.9%,-5.6%,-4.9%,-8.5%,-7.7%
,DH,Meat Hygiene Service,Non-Whitehall Civil Service,Policy,Executive Agency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
,DH,Medicines and Healthcare Products Regulatory Agency,Non-Whitehall Civil Service,Policy,Executive Agency,960,970,930,920,900,860,880,870,0,10,-40,-10,-20,-40,20,-10,0.0%,1.0%,-4.1%,-1.1%,-2.2%,-4.4%,2.3%,-1.1%,0,10,-30,-40,-60,-100,-80,-90,0.0%,1.0%,-3.1%,-4.2%,-6.3%,-10.4%,-8.3%,-9.4%
,DH,National Healthcare Purchasing and Supplies,Non-Whitehall Civil Service,Policy,???,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
,DH,NHS Business Services Authority,Non-Whitehall Civil Service,Policy,Executive Non-Departmental Public Body,190,190,190,190,0,0,0,0,0,0,0,0,-190,0,0,0,0.0%,0.0%,0.0%,0.0%,-100.0%,,,,0,0,0,0,-190,-190,-190,-190,0.0%,0.0%,0.0%,0.0%,-100.0%,-100.0%,-100.0%,-100.0%
DWP,DWP,Child Maintenance Enforcement Commission,Non-Whitehall Civil Service,Delivery,Crown Non Departmental Public Body,8160,8000,8250,7910,7910,7780,7900,7660,0,-160,250,-340,0,-130,120,-240,0.0%,-2.0%,3.1%,-4.1%,0.0%,-1.6%,1.5%,-3.0%,0,-160,90,-250,-250,-380,-260,-500,0.0%,-2.0%,1.1%,-3.1%,-3.1%,-4.7%,-3.2%,-6.1%
,DWP,Department for Work and Pensions,Non-Whitehall Civil Service,Delivery,Ministerial Department,0,0,0,0,0,90010,88630,87310,0,0,0,0,0,90010,-1380,-1320,,,,,,,-1.5%,-1.5%,0,0,0,0,0,90010,88630,87310,,,,,,,,
