"Dept","Whitehall","value","measure","Period","group","chart","sorter","totalgroup"
"BIS","Departmental Group",-0.18,"Cumulative_Perc_net_change","2013Q1","BIS-Departmental Group",TRUE,-0.19,FALSE
"BIS","Non-Whitehall",-0.16,"Cumulative_Perc_net_change","2012Q1","BIS-Non-Whitehall",TRUE,-0.19,FALSE
"BIS","Non-Whitehall",-0.18,"Cumulative_Perc_net_change","2013Q3","BIS-Non-Whitehall",TRUE,-0.19,FALSE
"BIS","Departmental Group",-0.19,"Cumulative_Perc_net_change","2012Q3","BIS-Departmental Group",TRUE,-0.19,FALSE
"BIS","Non-Whitehall",-0.17,"Cumulative_Perc_net_change","2013Q1","BIS-Non-Whitehall",TRUE,-0.19,FALSE
"BIS","Whitehall",-0.21,"Cumulative_Perc_net_change","2012Q1","BIS-Whitehall",TRUE,-0.19,FALSE
"BIS","Non-Whitehall",-0.12,"Cumulative_Perc_net_change","2011Q3","BIS-Non-Whitehall",TRUE,-0.19,FALSE
"BIS","Departmental Group",-0.19,"Cumulative_Perc_net_change","2012Q1","BIS-Departmental Group",TRUE,-0.19,FALSE
"BIS","Non-Whitehall",-0.05,"Cumulative_Perc_net_change","2011Q1","BIS-Non-Whitehall",TRUE,-0.19,FALSE
"BIS","Non-Whitehall",-0.17,"Cumulative_Perc_net_change","2013Q2","BIS-Non-Whitehall",TRUE,-0.19,FALSE
"BIS","Non-Whitehall",-0.03,"Cumulative_Perc_net_change","2010Q4","BIS-Non-Whitehall",TRUE,-0.19,FALSE
"BIS","Non-Whitehall",0,"Cumulative_Perc_net_change","2010Q3","BIS-Non-Whitehall",TRUE,-0.19,FALSE
"BIS","Departmental Group",-0.19,"Cumulative_Perc_net_change","2013Q3","BIS-Departmental Group",TRUE,-0.19,FALSE
"BIS","Departmental Group",-0.19,"Cumulative_Perc_net_change","2012Q4","BIS-Departmental Group",TRUE,-0.19,FALSE
"BIS","Departmental Group",-0.17,"Cumulative_Perc_net_change","2011Q4","BIS-Departmental Group",TRUE,-0.19,FALSE
"BIS","Departmental Group",-0.05,"Cumulative_Perc_net_change","2010Q4","BIS-Departmental Group",TRUE,-0.19,FALSE
"BIS","Departmental Group",-0.18,"Cumulative_Perc_net_change","2012Q2","BIS-Departmental Group",TRUE,-0.19,FALSE
"BIS","Departmental Group",-0.12,"Cumulative_Perc_net_change","2011Q2","BIS-Departmental Group",TRUE,-0.19,FALSE
"BIS","Departmental Group",0,"Cumulative_Perc_net_change","2010Q3","BIS-Departmental Group",TRUE,-0.19,FALSE
"BIS","Departmental Group",-0.16,"Cumulative_Perc_net_change","2011Q3","BIS-Departmental Group",TRUE,-0.19,FALSE
"BIS","Departmental Group",-0.06,"Cumulative_Perc_net_change","2011Q1","BIS-Departmental Group",TRUE,-0.19,FALSE
"CO","Whitehall",-0.05,"Cumulative_Perc_net_change","2011Q3","CO-Whitehall",TRUE,-0.17,FALSE
"CO","Whitehall",0.03,"Cumulative_Perc_net_change","2013Q3","CO-Whitehall",TRUE,-0.17,FALSE
"CO","Whitehall",-0.03,"Cumulative_Perc_net_change","2013Q1","CO-Whitehall",TRUE,-0.17,FALSE
"CO","Departmental Group",-0.06,"Cumulative_Perc_net_change","2010Q4","CO-Departmental Group",TRUE,-0.17,FALSE
"CO","Whitehall",-0.05,"Cumulative_Perc_net_change","2011Q2","CO-Whitehall",TRUE,-0.17,FALSE
"CO","Whitehall",-0.03,"Cumulative_Perc_net_change","2012Q4","CO-Whitehall",TRUE,-0.17,FALSE
"CO","Non-Whitehall",-0.07,"Cumulative_Perc_net_change","2011Q1","CO-Non-Whitehall",TRUE,-0.17,FALSE
"CO","Whitehall",0,"Cumulative_Perc_net_change","2010Q3","CO-Whitehall",TRUE,-0.17,FALSE
"CO","Non-Whitehall",-0.1,"Cumulative_Perc_net_change","2011Q2","CO-Non-Whitehall",TRUE,-0.17,FALSE
"CO","Non-Whitehall",-0.25,"Cumulative_Perc_net_change","2012Q2","CO-Non-Whitehall",TRUE,-0.17,FALSE
"CO","Departmental Group",-0.18,"Cumulative_Perc_net_change","2013Q2","CO-Departmental Group",TRUE,-0.17,FALSE
"CO","Whitehall",0.01,"Cumulative_Perc_net_change","2011Q1","CO-Whitehall",TRUE,-0.17,FALSE
"CO","Non-Whitehall",0,"Cumulative_Perc_net_change","2010Q3","CO-Non-Whitehall",TRUE,-0.17,FALSE
"CO","Non-Whitehall",-0.07,"Cumulative_Perc_net_change","2010Q4","CO-Non-Whitehall",TRUE,-0.17,FALSE
"CO","Whitehall",0.01,"Cumulative_Perc_net_change","2013Q2","CO-Whitehall",TRUE,-0.17,FALSE
"CO","Departmental Group",-0.06,"Cumulative_Perc_net_change","2011Q1","CO-Departmental Group",TRUE,-0.17,FALSE
"CO","Whitehall",-0.04,"Cumulative_Perc_net_change","2011Q4","CO-Whitehall",TRUE,-0.17,FALSE
"CO","Non-Whitehall",-0.24,"Cumulative_Perc_net_change","2012Q3","CO-Non-Whitehall",TRUE,-0.17,FALSE
"CO","Non-Whitehall",-0.24,"Cumulative_Perc_net_change","2013Q3","CO-Non-Whitehall",TRUE,-0.17,FALSE
"CO","Whitehall",-0.05,"Cumulative_Perc_net_change","2012Q3","CO-Whitehall",TRUE,-0.17,FALSE
"CO","Whitehall",-0.03,"Cumulative_Perc_net_change","2012Q2","CO-Whitehall",TRUE,-0.17,FALSE
"CO","Departmental Group",-0.09,"Cumulative_Perc_net_change","2011Q2","CO-Departmental Group",TRUE,-0.17,FALSE
"CO","Whitehall",-0.03,"Cumulative_Perc_net_change","2010Q4","CO-Whitehall",TRUE,-0.17,FALSE
"CO","Non-Whitehall",-0.14,"Cumulative_Perc_net_change","2011Q3","CO-Non-Whitehall",TRUE,-0.17,FALSE
"CO","Departmental Group",-0.17,"Cumulative_Perc_net_change","2013Q3","CO-Departmental Group",TRUE,-0.17,FALSE
"CO","Departmental Group",-0.14,"Cumulative_Perc_net_change","2012Q1","CO-Departmental Group",TRUE,-0.17,FALSE
"CO","Departmental Group",-0.12,"Cumulative_Perc_net_change","2011Q3","CO-Departmental Group",TRUE,-0.17,FALSE
"CO","Departmental Group",-0.13,"Cumulative_Perc_net_change","2011Q4","CO-Departmental Group",TRUE,-0.17,FALSE
"CO","Departmental Group",0,"Cumulative_Perc_net_change","2010Q3","CO-Departmental Group",TRUE,-0.17,FALSE
"CO","Departmental Group",-0.19,"Cumulative_Perc_net_change","2012Q4","CO-Departmental Group",TRUE,-0.17,FALSE
"CO","Non-Whitehall",-0.25,"Cumulative_Perc_net_change","2012Q4","CO-Non-Whitehall",TRUE,-0.17,FALSE
"CO","Non-Whitehall",-0.16,"Cumulative_Perc_net_change","2011Q4","CO-Non-Whitehall",TRUE,-0.17,FALSE
"CO","Departmental Group",-0.19,"Cumulative_Perc_net_change","2012Q3","CO-Departmental Group",TRUE,-0.17,FALSE
"CO","Whitehall",-0.03,"Cumulative_Perc_net_change","2012Q1","CO-Whitehall",TRUE,-0.17,FALSE
"CO","Departmental Group",-0.19,"Cumulative_Perc_net_change","2013Q1","CO-Departmental Group",TRUE,-0.17,FALSE
"CO","Non-Whitehall",-0.25,"Cumulative_Perc_net_change","2013Q2","CO-Non-Whitehall",TRUE,-0.17,FALSE
"CO","Non-Whitehall",-0.18,"Cumulative_Perc_net_change","2012Q1","CO-Non-Whitehall",TRUE,-0.17,FALSE
"CO","Non-Whitehall",-0.24,"Cumulative_Perc_net_change","2013Q1","CO-Non-Whitehall",TRUE,-0.17,FALSE
"CO","Departmental Group",-0.2,"Cumulative_Perc_net_change","2012Q2","CO-Departmental Group",TRUE,-0.17,FALSE
"DCLG","Non-Whitehall",-0.09,"Cumulative_Perc_net_change","2011Q2","DCLG-Non-Whitehall",TRUE,-0.26,FALSE
"DCLG","Whitehall",0,"Cumulative_Perc_net_change","2010Q3","DCLG-Whitehall",TRUE,-0.26,FALSE
"DCLG","Non-Whitehall",-0.05,"Cumulative_Perc_net_change","2013Q3","DCLG-Non-Whitehall",TRUE,-0.26,FALSE
"DCLG","Whitehall",-0.11,"Cumulative_Perc_net_change","2011Q1","DCLG-Whitehall",TRUE,-0.26,FALSE
"DCLG","Non-Whitehall",-0.09,"Cumulative_Perc_net_change","2011Q3","DCLG-Non-Whitehall",TRUE,-0.26,FALSE
"DCLG","Whitehall",-0.26,"Cumulative_Perc_net_change","2011Q4","DCLG-Whitehall",TRUE,-0.26,FALSE
"DCLG","Whitehall",-0.33,"Cumulative_Perc_net_change","2013Q1","DCLG-Whitehall",TRUE,-0.26,FALSE
"DCLG","Non-Whitehall",-0.11,"Cumulative_Perc_net_change","2012Q3","DCLG-Non-Whitehall",TRUE,-0.26,FALSE
"DCLG","Departmental Group",-0.22,"Cumulative_Perc_net_change","2012Q1","DCLG-Departmental Group",TRUE,-0.26,FALSE
"DCLG","Non-Whitehall",-0.07,"Cumulative_Perc_net_change","2011Q1","DCLG-Non-Whitehall",TRUE,-0.26,FALSE
"DCLG","Whitehall",-0.2,"Cumulative_Perc_net_change","2011Q2","DCLG-Whitehall",TRUE,-0.26,FALSE
"DCLG","Whitehall",-0.35,"Cumulative_Perc_net_change","2013Q3","DCLG-Whitehall",TRUE,-0.26,FALSE
"DCLG","Departmental Group",-0.26,"Cumulative_Perc_net_change","2012Q3","DCLG-Departmental Group",TRUE,-0.26,FALSE
"DCLG","Departmental Group",-0.15,"Cumulative_Perc_net_change","2011Q2","DCLG-Departmental Group",TRUE,-0.26,FALSE
"DCLG","Whitehall",-0.02,"Cumulative_Perc_net_change","2010Q4","DCLG-Whitehall",TRUE,-0.26,FALSE
"DCLG","Departmental Group",-0.02,"Cumulative_Perc_net_change","2010Q4","DCLG-Departmental Group",TRUE,-0.26,FALSE
"DCLG","Whitehall",-0.16,"Cumulative_Perc_net_change","2011Q3","DCLG-Whitehall",TRUE,-0.26,FALSE
"DCLG","Departmental Group",-0.2,"Cumulative_Perc_net_change","2011Q4","DCLG-Departmental Group",TRUE,-0.26,FALSE
"DCLG","Departmental Group",0,"Cumulative_Perc_net_change","2010Q3","DCLG-Departmental Group",TRUE,-0.26,FALSE
"DCLG","Non-Whitehall",-0.09,"Cumulative_Perc_net_change","2013Q1","DCLG-Non-Whitehall",TRUE,-0.26,FALSE
"DCLG","Non-Whitehall",-0.11,"Cumulative_Perc_net_change","2012Q1","DCLG-Non-Whitehall",TRUE,-0.26,FALSE
"DCLG","Non-Whitehall",-0.09,"Cumulative_Perc_net_change","2011Q4","DCLG-Non-Whitehall",TRUE,-0.26,FALSE
"DCLG","Non-Whitehall",0,"Cumulative_Perc_net_change","2010Q3","DCLG-Non-Whitehall",TRUE,-0.26,FALSE
"DCLG","Whitehall",-0.28,"Cumulative_Perc_net_change","2012Q1","DCLG-Whitehall",TRUE,-0.26,FALSE
"DCLG","Whitehall",-0.37,"Cumulative_Perc_net_change","2013Q2","DCLG-Whitehall",TRUE,-0.26,FALSE
"DCLG","Non-Whitehall",-0.1,"Cumulative_Perc_net_change","2012Q4","DCLG-Non-Whitehall",TRUE,-0.26,FALSE
"DCLG","Departmental Group",-0.25,"Cumulative_Perc_net_change","2012Q2","DCLG-Departmental Group",TRUE,-0.26,FALSE
"DCLG","Departmental Group",-0.28,"Cumulative_Perc_net_change","2013Q2","DCLG-Departmental Group",TRUE,-0.26,FALSE
"DCLG","Whitehall",-0.34,"Cumulative_Perc_net_change","2012Q4","DCLG-Whitehall",TRUE,-0.26,FALSE
"DCLG","Non-Whitehall",-0.09,"Cumulative_Perc_net_change","2012Q2","DCLG-Non-Whitehall",TRUE,-0.26,FALSE
"DCLG","Departmental Group",-0.26,"Cumulative_Perc_net_change","2013Q1","DCLG-Departmental Group",TRUE,-0.26,FALSE
"DCLG","Non-Whitehall",-0.02,"Cumulative_Perc_net_change","2010Q4","DCLG-Non-Whitehall",TRUE,-0.26,FALSE
"DCLG","Non-Whitehall",-0.09,"Cumulative_Perc_net_change","2013Q2","DCLG-Non-Whitehall",TRUE,-0.26,FALSE
"DCLG","Departmental Group",-0.27,"Cumulative_Perc_net_change","2012Q4","DCLG-Departmental Group",TRUE,-0.26,FALSE
"DCLG","Departmental Group",-0.13,"Cumulative_Perc_net_change","2011Q3","DCLG-Departmental Group",TRUE,-0.26,FALSE
"DCLG","Whitehall",-0.33,"Cumulative_Perc_net_change","2012Q2","DCLG-Whitehall",TRUE,-0.26,FALSE
"DCLG","Departmental Group",-0.09,"Cumulative_Perc_net_change","2011Q1","DCLG-Departmental Group",TRUE,-0.26,FALSE
"DCLG","Departmental Group",-0.26,"Cumulative_Perc_net_change","2013Q3","DCLG-Departmental Group",TRUE,-0.26,FALSE
"DCLG","Whitehall",-0.33,"Cumulative_Perc_net_change","2012Q3","DCLG-Whitehall",TRUE,-0.26,FALSE
"DCMS","Whitehall",0,"Cumulative_Perc_net_change","2010Q3","DCMS-Whitehall",TRUE,-0.17,FALSE
"DCMS","Whitehall",-0.02,"Cumulative_Perc_net_change","2012Q1","DCMS-Whitehall",TRUE,-0.17,FALSE
"DCMS","Whitehall",-0.37,"Cumulative_Perc_net_change","2013Q1","DCMS-Whitehall",TRUE,-0.17,FALSE
"DCMS","Non-Whitehall",0.18,"Cumulative_Perc_net_change","2012Q3","DCMS-Non-Whitehall",TRUE,-0.17,FALSE
"DCMS","Whitehall",0,"Cumulative_Perc_net_change","2010Q4","DCMS-Whitehall",TRUE,-0.17,FALSE
"DCMS","Whitehall",0,"Cumulative_Perc_net_change","2011Q3","DCMS-Whitehall",TRUE,-0.17,FALSE
"DCMS","Whitehall",0.07,"Cumulative_Perc_net_change","2011Q2","DCMS-Whitehall",TRUE,-0.17,FALSE
"DCMS","Whitehall",-0.02,"Cumulative_Perc_net_change","2012Q2","DCMS-Whitehall",TRUE,-0.17,FALSE
"DCMS","Whitehall",-0.22,"Cumulative_Perc_net_change","2013Q3","DCMS-Whitehall",TRUE,-0.17,FALSE
"DCMS","Non-Whitehall",0,"Cumulative_Perc_net_change","2010Q3","DCMS-Non-Whitehall",TRUE,-0.17,FALSE
"DCMS","Non-Whitehall",0.09,"Cumulative_Perc_net_change","2011Q2","DCMS-Non-Whitehall",TRUE,-0.17,FALSE
"DCMS","Departmental Group",0,"Cumulative_Perc_net_change","2012Q1","DCMS-Departmental Group",TRUE,-0.17,FALSE
"DCMS","Whitehall",-0.13,"Cumulative_Perc_net_change","2012Q4","DCMS-Whitehall",TRUE,-0.17,FALSE
"DCMS","Non-Whitehall",0.18,"Cumulative_Perc_net_change","2012Q2","DCMS-Non-Whitehall",TRUE,-0.17,FALSE
"DCMS","Non-Whitehall",0.09,"Cumulative_Perc_net_change","2011Q1","DCMS-Non-Whitehall",TRUE,-0.17,FALSE
"DCMS","Departmental Group",0,"Cumulative_Perc_net_change","2011Q4","DCMS-Departmental Group",TRUE,-0.17,FALSE
"DCMS","Non-Whitehall",0.09,"Cumulative_Perc_net_change","2010Q4","DCMS-Non-Whitehall",TRUE,-0.17,FALSE
"DCMS","Whitehall",-0.02,"Cumulative_Perc_net_change","2011Q1","DCMS-Whitehall",TRUE,-0.17,FALSE
"DCMS","Non-Whitehall",0,"Cumulative_Perc_net_change","2011Q4","DCMS-Non-Whitehall",TRUE,-0.17,FALSE
"DCMS","Non-Whitehall",0.09,"Cumulative_Perc_net_change","2013Q1","DCMS-Non-Whitehall",TRUE,-0.17,FALSE
"DCMS","Whitehall",0.13,"Cumulative_Perc_net_change","2012Q3","DCMS-Whitehall",TRUE,-0.17,FALSE
"DCMS","Whitehall",-0.24,"Cumulative_Perc_net_change","2013Q2","DCMS-Whitehall",TRUE,-0.17,FALSE
"DCMS","Non-Whitehall",0,"Cumulative_Perc_net_change","2012Q4","DCMS-Non-Whitehall",TRUE,-0.17,FALSE
"DCMS","Whitehall",0,"Cumulative_Perc_net_change","2011Q4","DCMS-Whitehall",TRUE,-0.17,FALSE
"DCMS","Departmental Group",0.02,"Cumulative_Perc_net_change","2012Q2","DCMS-Departmental Group",TRUE,-0.17,FALSE
"DCMS","Departmental Group",0.14,"Cumulative_Perc_net_change","2012Q3","DCMS-Departmental Group",TRUE,-0.17,FALSE
"DCMS","Departmental Group",-0.18,"Cumulative_Perc_net_change","2013Q2","DCMS-Departmental Group",TRUE,-0.17,FALSE
"DCMS","Non-Whitehall",0,"Cumulative_Perc_net_change","2013Q3","DCMS-Non-Whitehall",TRUE,-0.17,FALSE
"DCMS","Departmental Group",-0.28,"Cumulative_Perc_net_change","2013Q1","DCMS-Departmental Group",TRUE,-0.17,FALSE
"DCMS","Departmental Group",0,"Cumulative_Perc_net_change","2011Q1","DCMS-Departmental Group",TRUE,-0.17,FALSE
"DCMS","Non-Whitehall",0.09,"Cumulative_Perc_net_change","2012Q1","DCMS-Non-Whitehall",TRUE,-0.17,FALSE
"DCMS","Non-Whitehall",0,"Cumulative_Perc_net_change","2011Q3","DCMS-Non-Whitehall",TRUE,-0.17,FALSE
"DCMS","Departmental Group",-0.17,"Cumulative_Perc_net_change","2013Q3","DCMS-Departmental Group",TRUE,-0.17,FALSE
"DCMS","Departmental Group",0,"Cumulative_Perc_net_change","2010Q3","DCMS-Departmental Group",TRUE,-0.17,FALSE
"DCMS","Departmental Group",-0.11,"Cumulative_Perc_net_change","2012Q4","DCMS-Departmental Group",TRUE,-0.17,FALSE
"DCMS","Departmental Group",0.02,"Cumulative_Perc_net_change","2010Q4","DCMS-Departmental Group",TRUE,-0.17,FALSE
"DCMS","Departmental Group",0.07,"Cumulative_Perc_net_change","2011Q2","DCMS-Departmental Group",TRUE,-0.17,FALSE
"DCMS","Departmental Group",0,"Cumulative_Perc_net_change","2011Q3","DCMS-Departmental Group",TRUE,-0.17,FALSE
"DCMS","Non-Whitehall",0,"Cumulative_Perc_net_change","2013Q2","DCMS-Non-Whitehall",TRUE,-0.17,FALSE
"DECC","Whitehall",0.1,"Cumulative_Perc_net_change","2011Q4","DECC-Whitehall",TRUE,0.48,FALSE
"DECC","Whitehall",0.03,"Cumulative_Perc_net_change","2011Q1","DECC-Whitehall",TRUE,0.48,FALSE
"DECC","Whitehall",0,"Cumulative_Perc_net_change","2010Q3","DECC-Whitehall",TRUE,0.48,FALSE
"DECC","Whitehall",0.34,"Cumulative_Perc_net_change","2013Q3","DECC-Whitehall",TRUE,0.48,FALSE
"DECC","Whitehall",0.15,"Cumulative_Perc_net_change","2012Q1","DECC-Whitehall",TRUE,0.48,FALSE
"DECC","Whitehall",0.28,"Cumulative_Perc_net_change","2013Q1","DECC-Whitehall",TRUE,0.48,FALSE
"DECC","Whitehall",0.24,"Cumulative_Perc_net_change","2012Q4","DECC-Whitehall",TRUE,0.48,FALSE
"DECC","Whitehall",0.06,"Cumulative_Perc_net_change","2011Q3","DECC-Whitehall",TRUE,0.48,FALSE
"DECC","Non-Whitehall",0.39,"Cumulative_Perc_net_change","2012Q2","DECC-Non-Whitehall",TRUE,0.48,FALSE
"DECC","Non-Whitehall",0.07,"Cumulative_Perc_net_change","2011Q1","DECC-Non-Whitehall",TRUE,0.48,FALSE
"DECC","Whitehall",0.22,"Cumulative_Perc_net_change","2012Q3","DECC-Whitehall",TRUE,0.48,FALSE
"DECC","Whitehall",0.04,"Cumulative_Perc_net_change","2011Q2","DECC-Whitehall",TRUE,0.48,FALSE
"DECC","Whitehall",0.01,"Cumulative_Perc_net_change","2010Q4","DECC-Whitehall",TRUE,0.48,FALSE
"DECC","Non-Whitehall",0.51,"Cumulative_Perc_net_change","2012Q3","DECC-Non-Whitehall",TRUE,0.48,FALSE
"DECC","Non-Whitehall",0.85,"Cumulative_Perc_net_change","2013Q3","DECC-Non-Whitehall",TRUE,0.48,FALSE
"DECC","Whitehall",0.18,"Cumulative_Perc_net_change","2012Q2","DECC-Whitehall",TRUE,0.48,FALSE
"DECC","Non-Whitehall",0.29,"Cumulative_Perc_net_change","2011Q4","DECC-Non-Whitehall",TRUE,0.48,FALSE
"DECC","Non-Whitehall",0.12,"Cumulative_Perc_net_change","2011Q2","DECC-Non-Whitehall",TRUE,0.48,FALSE
"DECC","Whitehall",0.32,"Cumulative_Perc_net_change","2013Q2","DECC-Whitehall",TRUE,0.48,FALSE
"DECC","Non-Whitehall",0.27,"Cumulative_Perc_net_change","2011Q3","DECC-Non-Whitehall",TRUE,0.48,FALSE
"DECC","Non-Whitehall",0,"Cumulative_Perc_net_change","2010Q3","DECC-Non-Whitehall",TRUE,0.48,FALSE
"DECC","Departmental Group",0.3,"Cumulative_Perc_net_change","2012Q3","DECC-Departmental Group",TRUE,0.48,FALSE
"DECC","Departmental Group",0.15,"Cumulative_Perc_net_change","2011Q4","DECC-Departmental Group",TRUE,0.48,FALSE
"DECC","Departmental Group",0.07,"Cumulative_Perc_net_change","2011Q2","DECC-Departmental Group",TRUE,0.48,FALSE
"DECC","Non-Whitehall",0.59,"Cumulative_Perc_net_change","2012Q4","DECC-Non-Whitehall",TRUE,0.48,FALSE
"DECC","Departmental Group",0.04,"Cumulative_Perc_net_change","2011Q1","DECC-Departmental Group",TRUE,0.48,FALSE
"DECC","Departmental Group",0.48,"Cumulative_Perc_net_change","2013Q3","DECC-Departmental Group",TRUE,0.48,FALSE
"DECC","Departmental Group",0.39,"Cumulative_Perc_net_change","2013Q1","DECC-Departmental Group",TRUE,0.48,FALSE
"DECC","Non-Whitehall",0.68,"Cumulative_Perc_net_change","2013Q1","DECC-Non-Whitehall",TRUE,0.48,FALSE
"DECC","Departmental Group",0.2,"Cumulative_Perc_net_change","2012Q1","DECC-Departmental Group",TRUE,0.48,FALSE
"DECC","Departmental Group",0.24,"Cumulative_Perc_net_change","2012Q2","DECC-Departmental Group",TRUE,0.48,FALSE
"DECC","Departmental Group",0.12,"Cumulative_Perc_net_change","2011Q3","DECC-Departmental Group",TRUE,0.48,FALSE
"DECC","Non-Whitehall",0.05,"Cumulative_Perc_net_change","2010Q4","DECC-Non-Whitehall",TRUE,0.48,FALSE
"DECC","Non-Whitehall",0.34,"Cumulative_Perc_net_change","2012Q1","DECC-Non-Whitehall",TRUE,0.48,FALSE
"DECC","Departmental Group",0,"Cumulative_Perc_net_change","2010Q3","DECC-Departmental Group",TRUE,0.48,FALSE
"DECC","Departmental Group",0.02,"Cumulative_Perc_net_change","2010Q4","DECC-Departmental Group",TRUE,0.48,FALSE
"DECC","Departmental Group",0.44,"Cumulative_Perc_net_change","2013Q2","DECC-Departmental Group",TRUE,0.48,FALSE
"DECC","Departmental Group",0.33,"Cumulative_Perc_net_change","2012Q4","DECC-Departmental Group",TRUE,0.48,FALSE
"DECC","Non-Whitehall",0.78,"Cumulative_Perc_net_change","2013Q2","DECC-Non-Whitehall",TRUE,0.48,FALSE
"DEFRA","Whitehall",-0.2,"Cumulative_Perc_net_change","2011Q4","DEFRA-Whitehall",TRUE,-0.18,FALSE
"DEFRA","Whitehall",0,"Cumulative_Perc_net_change","2010Q3","DEFRA-Whitehall",TRUE,-0.18,FALSE
"DEFRA","Whitehall",-0.19,"Cumulative_Perc_net_change","2012Q1","DEFRA-Whitehall",TRUE,-0.18,FALSE
"DEFRA","Whitehall",-0.19,"Cumulative_Perc_net_change","2013Q1","DEFRA-Whitehall",TRUE,-0.18,FALSE
"DEFRA","Whitehall",-0.19,"Cumulative_Perc_net_change","2011Q3","DEFRA-Whitehall",TRUE,-0.18,FALSE
"DEFRA","Whitehall",-0.22,"Cumulative_Perc_net_change","2012Q3","DEFRA-Whitehall",TRUE,-0.18,FALSE
"DEFRA","Whitehall",-0.1,"Cumulative_Perc_net_change","2011Q2","DEFRA-Whitehall",TRUE,-0.18,FALSE
"DEFRA","Whitehall",-0.02,"Cumulative_Perc_net_change","2011Q1","DEFRA-Whitehall",TRUE,-0.18,FALSE
"DEFRA","Whitehall",-0.01,"Cumulative_Perc_net_change","2010Q4","DEFRA-Whitehall",TRUE,-0.18,FALSE
"DEFRA","Non-Whitehall",-0.07,"Cumulative_Perc_net_change","2011Q3","DEFRA-Non-Whitehall",TRUE,-0.18,FALSE
"DEFRA","Whitehall",-0.21,"Cumulative_Perc_net_change","2012Q4","DEFRA-Whitehall",TRUE,-0.18,FALSE
"DEFRA","Non-Whitehall",-0.19,"Cumulative_Perc_net_change","2013Q3","DEFRA-Non-Whitehall",TRUE,-0.18,FALSE
"DEFRA","Whitehall",-0.16,"Cumulative_Perc_net_change","2013Q3","DEFRA-Whitehall",TRUE,-0.18,FALSE
"DEFRA","Departmental Group",-0.03,"Cumulative_Perc_net_change","2011Q1","DEFRA-Departmental Group",TRUE,-0.18,FALSE
"DEFRA","Whitehall",-0.17,"Cumulative_Perc_net_change","2013Q2","DEFRA-Whitehall",TRUE,-0.18,FALSE
"DEFRA","Non-Whitehall",-0.11,"Cumulative_Perc_net_change","2012Q2","DEFRA-Non-Whitehall",TRUE,-0.18,FALSE
"DEFRA","Non-Whitehall",-0.03,"Cumulative_Perc_net_change","2011Q1","DEFRA-Non-Whitehall",TRUE,-0.18,FALSE
"DEFRA","Non-Whitehall",-0.09,"Cumulative_Perc_net_change","2011Q4","DEFRA-Non-Whitehall",TRUE,-0.18,FALSE
"DEFRA","Whitehall",-0.2,"Cumulative_Perc_net_change","2012Q2","DEFRA-Whitehall",TRUE,-0.18,FALSE
"DEFRA","Non-Whitehall",-0.13,"Cumulative_Perc_net_change","2012Q4","DEFRA-Non-Whitehall",TRUE,-0.18,FALSE
